xcoord,ycoord,zcoord,atom_num,nb_atoms_list
3.61422,0.0,1.59169,1,"[[28, -3, -5, 148, 146, 160, 4, 145]]"
3.61422,3.61422,3.18365,2,"[[156, 155, 158, 153, 146, 151, 160, 157]]"
0.0,3.61422,4.77534,3,"[[158, 156, 149, 152, -1, 163, 170]]"
0.0,0.0,0.0,4,"[[160, 1, -5, 147, -3, 145, -1]]"
3.61422,0.0,7.959,5,"[[161, 159, -3, 162, 164, 176, 150]]"
3.61422,3.61422,9.55096,6,"[[171, 172, 169, 176, 162, 174, 167, 173]]"
0.0,3.61422,11.1426,7,"[[174, 168, 172, 207, -1, 165, 175]]"
0.0,0.0,6.36731,8,"[[161, -3, 159, 149, 163, -1]]"
3.61422,7.22823,1.59169,9,"[[157, 177, 12, 36, -5, 192, 180, 178, 155]]"
3.61422,10.8424,3.18365,10,"[[192, 190, 189, 178, 183, 188, 187, 185]]"
0.0,10.8424,4.77534,11,"[[184, -1, 202, 195, 181, 188, 190]]"
0.0,7.22823,0.0,12,"[[192, -5, 179, -1, 177, 9, 157, 154]]"
3.61422,7.22823,7.959,13,"[[173, 191, 182, 208, 196, 194, 193, 171]]"
3.61422,10.8424,9.55096,14,"[[204, 201, 203, 199, 205, 194, 208, 206]]"
0.0,10.8424,11.1426,15,"[[207, 197, 204, 206, -1, 239, 200]]"
0.0,7.22823,6.36731,16,"[[170, 191, 193, 181, -1, 195, 152]]"
3.61422,14.4567,1.59169,17,"[[209, 189, 187, 212, 210, 224, 44, 20, -5]]"
3.61422,18.0707,3.18365,18,"[[224, 222, 221, 220, 210, 215, 217, 219]]"
0.0,18.0707,4.77534,19,"[[234, 227, 220, 222, -1, 216, 213]]"
0.0,14.4567,0.0,20,"[[209, -1, 186, 211, 224, -5, 189, 17]]"
3.61422,14.4567,7.959,21,"[[203, 205, 228, 225, 223, 226, 240, 214]]"
3.61422,18.0707,9.55096,22,"[[226, 231, 233, 238, 235, 237, 240, 236]]"
0.0,18.0707,11.1426,23,"[[236, 232, -1, 239, 238, 229]]"
0.0,14.4567,6.36731,24,"[[225, -1, 202, 213, 227, 223, 184]]"
10.8424,0.0,1.59169,25,"[[52, -3, -5, 256, 244, 241, 242, 28]]"
10.8424,3.61422,3.18365,26,"[[252, 254, 242, 253, 256, 249, 251, 247]]"
7.22823,3.61422,4.77534,27,"[[153, 259, 266, 245, 252, 254, 151, 248]]"
7.22823,0.0,0.0,28,"[[241, 148, -3, 1, -5, 256, 243, 25, 160]]"
10.8424,0.0,7.959,29,"[[255, 272, 246, 258, 257, 260, -3]]"
10.8424,3.61422,9.55096,30,"[[267, 263, 269, 268, 258, 265, 272, 270]]"
7.22823,3.61422,11.1426,31,"[[271, 261, 268, 270, 198, 264, 169, 166, 167, 303]]"
7.22823,0.0,6.36731,32,"[[259, 257, 255, 150, -3, 164, 245]]"
10.8424,7.22823,1.59169,33,"[[36, 288, -5, 274, 276, 253, 60, 273, 251]]"
10.8424,10.8424,3.18365,34,"[[284, 286, 274, 288, 279, 285, 281, 283]]"
7.22823,10.8424,4.77534,35,"[[277, 284, 291, 286, 183, 280, 185, 298]]"
7.22823,7.22823,0.0,36,"[[157, 9, -5, 192, 180, 275, 288, 33, 273, 253, 250]]"
10.8424,7.22823,7.959,37,"[[290, 304, 289, 269, 287, 278, 267, 292]]"
10.8424,10.8424,9.55096,38,"[[304, 302, 301, 290, 297, 300, 295, 299]]"
7.22823,10.8424,11.1426,39,"[[302, 199, 296, 303, 293, 300, 201, 198, 230, 335]]"
7.22823,7.22823,6.36731,40,"[[277, 291, 287, 248, 182, 266, 196, 289]]"
10.8424,14.4567,1.59169,41,"[[320, 308, 68, -5, 285, 305, 283, 44, 306]]"
10.8424,18.0707,3.18365,42,"[[313, 306, 311, 320, 316, 315, 318, 317]]"
7.22823,18.0707,4.77534,43,"[[309, 215, 318, 316, 312, 217, 323, 330]]"
7.22823,14.4567,0.0,44,"[[305, 212, 282, 320, 307, 224, 17, 189, -5, 285, 41]]"
10.8424,14.4567,7.959,45,"[[299, 301, 324, 336, 310, 319, 321, 322]]"
10.8424,18.0707,9.55096,46,"[[322, 336, 327, 333, 331, 332, 329, 334]]"
7.22823,18.0707,11.1426,47,"[[334, 332, 325, 231, 233, 328, 230, 335]]"
7.22823,14.4567,6.36731,48,"[[323, 228, 321, 214, 298, 319, 280, 309]]"
18.0707,0.0,1.59169,49,"[[340, -3, -5, 352, 338, 337, 52]]"
18.0707,3.61422,3.18365,50,"[[347, 343, 349, 352, 348, 345, 350, 338]]"
14.4567,3.61422,4.77534,51,"[[350, 341, 247, 355, 249, 362, 344, 348]]"
14.4567,0.0,0.0,52,"[[337, 244, -3, 25, 256, -5, 339, 49, 352]]"
18.0707,0.0,7.959,53,"[[351, 342, -3, 353, 368, 356, 354]]"
18.0707,3.61422,9.55096,54,"[[363, 366, 364, 359, 365, 368, 354, 361]]"
14.4567,3.61422,11.1426,55,"[[357, 262, 265, 399, 360, 294, 367, 364, 366, 263]]"
14.4567,0.0,6.36731,56,"[[351, 355, 353, 341, 246, 260, -3]]"
18.0707,7.22823,1.59169,57,"[[349, -5, 372, 369, 384, 60, 370, 347]]"
18.0707,10.8424,3.18365,58,"[[384, 381, 375, 379, 380, 382, 377, 370]]"
14.4567,10.8424,4.77534,59,"[[380, 376, 394, 387, 373, 281, 382, 279]]"
14.4567,7.22823,0.0,60,"[[288, 33, 276, -5, 253, 371, 349, 369, 346, 384, 57]]"
18.0707,7.22823,7.959,61,"[[400, 388, 374, 383, 386, 385, 363, 365]]"
18.0707,10.8424,9.55096,62,"[[398, 386, 396, 397, 395, 391, 393, 400]]"
14.4567,10.8424,11.1426,63,"[[389, 294, 297, 431, 392, 326, 398, 295, 399, 396]]"
14.4567,7.22823,6.36731,64,"[[373, 387, 383, 344, 278, 385, 292, 362]]"
18.0707,14.4567,1.59169,65,"[[401, 379, 402, 404, 381, -5, 416, 68]]"
18.0707,18.0707,3.18365,66,"[[402, 414, 416, 412, 411, 409, 407, 413]]"
14.4567,18.0707,4.77534,67,"[[405, 311, 414, 419, 313, 412, 408, 426]]"
14.4567,14.4567,0.0,68,"[[378, 285, -5, 416, 403, 320, 401, 308, 41, 65, 381]]"
18.0707,14.4567,7.959,69,"[[415, 406, 397, 420, 418, 432, 395, 417]]"
18.0707,18.0707,9.55096,70,"[[430, 428, 427, 418, 425, 432, 429, 423]]"
14.4567,18.0707,11.1426,71,"[[431, 428, 329, 326, 327, 424, 430, 421]]"
14.4567,14.4567,6.36731,72,"[[417, 324, 394, 376, 415, 405, 419, 310]]"
3.61422,0.0,4.77534,73,"[[146, 145, 159, 176, 150, 148, -3]]"
0.0,0.0,3.18365,74,"[[159, -3, 145, 149, 147, -1]]"
