xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta
12.050224304,9.700149536,2.841721535,1,C,1080,internal,14,-2.225882148039163,-1.8063483396835167e-06,1.832670976978138,2.8832679804036085,130.70072160347183
12.050224304,9.700149536,7.104301453,2,C,1080,internal,14,-3.2876525738963807,-1.8063485209829366e-06,2.7095922702245097,4.260346196908318,142.56479525419627
12.050224304,9.700149536,11.366882324,3,C,1080,internal,14,-2.225882204979696,-1.8063480903274254e-06,0.832666542251227,2.376527963444392,124.69233158313598
12.050224304,9.700149536,15.629462242,4,C,1080,internal,18,-1.2727450081565774,-1.581567127706407e-06,11.307978173706166,11.37937828850087,138.30990959676828
12.050224304,9.700149536,19.89204216,5,C,1080,internal,14,-2.555216375058687,-1.5771498682592977e-06,5.559249936835386,6.1183650253621495,129.25198999632
12.050224304,9.700149536,24.154623032,6,C,1080,internal,18,-0.9434107558364628,-1.8107649452092645e-06,7.581390324447289,7.639862767475223,154.23851332227625
12.050224304,9.700149536,28.417203903,7,C,1080,internal,14,-3.616987002639453,-1.5771501262751286e-06,6.4361614039057145,7.38286994294162,167.65818685771043
12.050224304,9.700149536,32.679782867,8,C,1080,internal,14,-3.287652500141979,-1.8063482015717724e-06,1.7095822670269127,3.7055809921557437,137.4227671415591
12.050224304,9.700149536,36.942363739,9,C,1080,internal,18,-1.2727441537763062,-1.5815670373342527e-06,11.30796500728948,11.379365109137575,138.3099318684474
12.050224304,9.700149536,41.204940796,10,C,1080,internal,14,-3.6169868228130064,-1.5771506459705265e-06,6.436190993291272,7.382895649982404,167.6573184772594
11.735376358,10.875185966,3.552148581,11,C,1080,internal,10,-0.7684576117249085,-2.1131965158196127,2.17299033264004,3.126981547952781,136.37713031100427
11.735376358,10.875185966,7.814729214,12,C,1080,internal,10,-1.9320755538363676,-2.0717921835750635,3.591656125214642,4.574410619899212,150.09789502516892
11.735376358,10.875185966,12.077308655,13,C,1080,internal,9,-1.0112958152022222,0.023275493825498428,-3.175191954894653,3.332432283615989,131.01209957752428
11.735376358,10.875185966,16.339889526,14,C,1080,internal,9,-1.7564787359296963,-0.7152259349993729,-0.29106271082215895,1.9187191533676977,152.23462433693743
11.735376358,10.875185966,20.602468491,15,C,1080,internal,10,-0.7684572124537834,-2.113196077620773,2.1729963710931597,3.1269853499222062,136.37713291700672
11.735376358,10.875185966,24.865049362,16,C,1080,internal,9,-1.7564788862134741,-0.7152256888565293,-0.29105575318955523,1.918718143756076,152.23461630335737
11.735376358,10.875185966,29.127630234,17,C,1080,internal,10,-1.9320752447384844,-2.071792068207803,3.591660021378593,4.574413496218867,150.0978939979105
11.735376358,10.875185966,33.390209198,18,C,1080,internal,9,-2.174913926486748,0.0646799433646097,-1.7565225358236558,2.796391514354887,124.21479239261899
11.735376358,10.875185966,37.65279007,19,C,1080,internal,9,-1.756478431909286,-0.715225900646417,-0.2910614840097025,1.9187186761461184,152.2346224873565
11.735376358,10.875185966,41.915370941,20,C,1080,internal,10,-1.9320759169862198,-2.0717927450804474,3.5916425718113003,4.574400385975566,150.09788859127835
12.050224304,9.700149536,1.420858502,21,C,1080,internal,18,-1.2727449253831917,-1.581567084407709e-06,-11.307976099549878,11.379376218100992,138.30989554625376
12.050224304,9.700149536,5.683438301,22,C,1080,internal,18,0.054776261786973535,-1.5815668004126593e-06,-11.395096557645369,11.395228211708583,135.3187504328866
12.050224304,9.700149536,9.946019173,23,C,1080,internal,18,-1.2727451270237546,-1.5815671110530616e-06,-11.307979081002957,11.379379203399704,138.30989814447304
12.050224304,9.700149536,14.208599091,24,C,1080,internal,14,-2.2258821690110313,-1.806348107091793e-06,-0.8326666088341573,2.3765279530844765,124.69232429832243
12.050224304,9.700149536,18.471179962,25,C,1080,internal,14,-3.6169869776249404,-1.577150459342036e-06,-6.436178465005127,7.382884804038773,167.65783944316055
12.050224304,9.700149536,22.733758926,26,C,1080,internal,18,-0.6776598647867765,-1.8107649434329076e-06,-8.54543205793516,8.572259442476765,152.11253893510553
12.050224304,9.700149536,26.996339798,27,C,1080,internal,14,-3.6169869916343984,-1.5771500546657435e-06,-6.436163891210071,7.382872105906434,167.65710510125552
12.050224304,9.700149536,31.258918762,28,C,1080,internal,18,-0.21097426331273253,-1.5815669491825446e-06,-10.431049841676083,10.433183164275105,138.07603198797173
12.050224304,9.700149536,35.521499634,29,C,1080,internal,14,-3.287652356201102,-1.8063482839503209e-06,-1.7095825291181255,3.705580985365702,137.42275645980868
12.050224304,9.700149536,39.784080505,30,C,1080,internal,14,-3.616986812584603,-1.577150692044782e-06,-6.436188985371865,7.382893894526422,167.6582751334932
10.875185966,11.735376358,2.841721535,31,C,1080,internal,10,-1.5168631735900995,-1.6831840684595576,2.826051362950143,3.622229810730161,124.85436748381278
10.875185966,11.735376358,7.104301453,32,C,1080,internal,10,-0.7391332378091735,-0.3361176073681841,0.16840595160792368,0.8292487888168154,136.72219349202217
10.875185966,11.735376358,11.366882324,33,C,1080,internal,10,-1.5168631298467725,-1.683184001206526,2.826047848554992,3.622227019242231,124.85437030182453
10.875185966,11.735376358,15.629462242,34,C,1080,internal,10,-0.9490502701850767,-0.699708062369625,4.86814276482336,5.008902251650101,137.5385700631251
