xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
-9.700161933799999,-12.0502500538,-39.784079551400005,1,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-35.521499633400005,2,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-31.2589187624,3,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-26.9963388444,4,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-22.733758926400004,5,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-18.471178054400003,6,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-14.208597183400002,7,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-9.946018219400003,8,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-5.683437347400002,9,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-1.4208602904000003,10,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-39.073652505400005,11,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-34.81107187240001,12,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-30.548492431400003,13,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-26.285911560400002,14,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-22.023332595400003,15,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-17.760751724400002,16,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-13.498170852400001,17,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-9.235591888400002,18,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-4.973011016400001,19,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-0.7104301454000037,20,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-41.2049425844,21,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-36.9423627854,22,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-32.67978191340001,23,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-28.417201995400003,24,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-24.154621124400002,25,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-19.892042160400003,26,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-15.629461288400002,27,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-11.366882324400002,28,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-7.104301452400001,29,C,1440,internal,,,,,,,0.77
-9.700161933799999,-12.0502500538,-2.841720581400004,30,C,1440,internal,,,,,,,0.77
-10.875205993799998,-10.015011787799999,-39.784079551400005,31,C,1440,internal,,,,,,,0.77
-10.875205993799998,-10.015011787799999,-35.521499633400005,32,C,1440,internal,,,,,,,0.77
-10.875205993799998,-10.015011787799999,-31.2589187624,33,C,1440,internal,,,,,,,0.77
-10.875205993799998,-10.015011787799999,-26.9963388444,34,C,1440,internal,,,,,,,0.77
-10.875205993799998,-10.015011787799999,-22.733758926400004,35,C,1440,internal,,,,,,,0.77
-10.875205993799998,-10.015011787799999,-18.471178054400003,36,C,1440,internal,,,,,,,0.77
-10.875205993799998,-10.015011787799999,-14.208597183400002,37,C,1440,internal,,,,,,,0.77
-10.875205993799998,-10.015011787799999,-9.946018219400003,38,C,1440,internal,,,,,,,0.77
-10.875205993799998,-10.015011787799999,-5.683437347400002,39,C,1440,internal,,,,,,,0.77
-10.875205993799998,-10.015011787799999,-1.4208602904000003,40,C,1440,internal,,,,,,,0.77
-12.0502500538,-9.700161933799999,-39.073652505400005,41,C,1440,internal,,,,,,,0.77
-12.0502500538,-9.700161933799999,-34.81107187240001,42,C,1440,internal,,,,,,,0.77
-12.0502500538,-9.700161933799999,-30.548492431400003,43,C,1440,internal,,,,,,,0.77
-12.0502500538,-9.700161933799999,-26.285911560400002,44,C,1440,internal,,,,,,,0.77
-12.0502500538,-9.700161933799999,-22.023332595400003,45,C,1440,internal,,,,,,,0.77
-12.0502500538,-9.700161933799999,-17.760751724400002,46,C,1440,internal,,,,,,,0.77
-12.0502500538,-9.700161933799999,-13.498170852400001,47,C,1440,internal,,,,,,,0.77
-12.0502500538,-9.700161933799999,-9.235591888400002,48,C,1440,internal,,,,,,,0.77
-12.0502500538,-9.700161933799999,-4.973011016400001,49,C,1440,internal,,,,,,,0.77
-12.0502500538,-9.700161933799999,-0.7104301454000037,50,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-41.9153696894,51,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-37.652789115400005,52,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-33.3902091984,53,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-29.127628326400004,54,C,1440,internal,,,,,,,0.77
-10.015011787799999,-10.875205993799998,-24.865049362400004,55,C,1440,internal,,,,,,,0.77
