xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
-8.0778999329,-8.0778999329,-27.1168003082,1,Al,56,internal,,,,,,,1.43
-8.0778999329,-8.0778999329,-23.0777530672,2,Al,56,internal,,,,,,,1.43
-8.0778999329,-8.0778999329,-19.038976669199997,3,Al,56,internal,,,,,,,1.43
-8.0778999329,-8.0778999329,-14.999929428199998,4,Al,56,internal,,,,,,,1.43
-8.0778999329,-6.058424949899999,-25.0974123482,5,Al,56,internal,,,,,,,1.43
-8.0778999329,-6.058424949899999,-21.058364868199998,6,Al,56,internal,,,,,,,1.43
-8.0778999329,-6.058424949899999,-17.0195884702,7,Al,56,internal,,,,,,,1.43
-6.058424949899999,-8.0778999329,-25.0974123482,8,Al,56,internal,,,,,,,1.43
-6.058424949899999,-8.0778999329,-21.058364868199998,9,Al,56,internal,,,,,,,1.43
-6.058424949899999,-8.0778999329,-17.0195884702,10,Al,56,internal,,,,,,,1.43
-6.058424949899999,-6.058424949899999,-27.1168003082,11,Al,56,internal,,,,,,,1.43
-6.058424949899999,-6.058424949899999,-23.0777530672,12,Al,56,internal,,,,,,,1.43
-6.058424949899999,-6.058424949899999,-19.038976669199997,13,Al,56,internal,,,,,,,1.43
-6.058424949899999,-6.058424949899999,-14.999929428199998,14,Al,56,internal,,,,,,,1.43
-4.0389499669,-8.0778999329,-27.1168003082,15,Al,56,internal,,,,,,,1.43
-4.0389499669,-8.0778999329,-23.0777530672,16,Al,56,internal,,,,,,,1.43
-4.0389499669,-8.0778999329,-19.038976669199997,17,Al,56,internal,,,,,,,1.43
-4.0389499669,-8.0778999329,-14.999929428199998,18,Al,56,internal,,,,,,,1.43
-4.0389499669,-6.058424949899999,-25.0974123482,19,Al,56,internal,,,,,,,1.43
-4.0389499669,-6.058424949899999,-21.058364868199998,20,Al,56,internal,,,,,,,1.43
-4.0389499669,-6.058424949899999,-17.0195884702,21,Al,56,internal,,,,,,,1.43
-2.0194749828999994,-8.0778999329,-25.0974123482,22,Al,56,internal,,,,,,,1.43
-2.0194749828999994,-8.0778999329,-21.058364868199998,23,Al,56,internal,,,,,,,1.43
-2.0194749828999994,-8.0778999329,-17.0195884702,24,Al,56,internal,,,,,,,1.43
-2.0194749828999994,-6.058424949899999,-27.1168003082,25,Al,56,internal,,,,,,,1.43
-2.0194749828999994,-6.058424949899999,-23.0777530672,26,Al,56,internal,,,,,,,1.43
-2.0194749828999994,-6.058424949899999,-19.038976669199997,27,Al,56,internal,,,,,,,1.43
-2.0194749828999994,-6.058424949899999,-14.999929428199998,28,Al,56,internal,,,,,,,1.43
-8.0778999329,-4.0389499669,-27.1168003082,29,Al,56,internal,,,,,,,1.43
-8.0778999329,-4.0389499669,-23.0777530672,30,Al,56,internal,,,,,,,1.43
-8.0778999329,-4.0389499669,-19.038976669199997,31,Al,56,internal,,,,,,,1.43
-8.0778999329,-4.0389499669,-14.999929428199998,32,Al,56,internal,,,,,,,1.43
-8.0778999329,-2.0194749828999994,-25.0974123482,33,Al,56,internal,,,,,,,1.43
-8.0778999329,-2.0194749828999994,-21.058364868199998,34,Al,56,internal,,,,,,,1.43
-8.0778999329,-2.0194749828999994,-17.0195884702,35,Al,56,internal,,,,,,,1.43
-6.058424949899999,-4.0389499669,-25.0974123482,36,Al,56,internal,,,,,,,1.43
-6.058424949899999,-4.0389499669,-21.058364868199998,37,Al,56,internal,,,,,,,1.43
-6.058424949899999,-4.0389499669,-17.0195884702,38,Al,56,internal,,,,,,,1.43
-6.058424949899999,-2.0194749828999994,-27.1168003082,39,Al,56,internal,,,,,,,1.43
-6.058424949899999,-2.0194749828999994,-23.0777530672,40,Al,56,internal,,,,,,,1.43
