xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta
-10.124062299600002,-16.6109008789,-27.0937004089,1,Ba,64,internal,,,,,,
-10.124062299600002,-16.6109008789,-23.062428674899998,2,Ba,64,internal,,,,,,
-10.124062299600002,-16.6109008789,-19.0311569399,3,Ba,64,internal,,,,,,
-10.124062299600002,-16.6109008789,-14.999885205899998,4,Ba,64,internal,,,,,,
-14.173687219600001,-16.6109008789,-27.0937004089,5,Ba,64,internal,,,,,,
-14.173687219600001,-16.6109008789,-23.062428674899998,6,Ba,64,internal,,,,,,
-14.173687219600001,-16.6109008789,-19.0311569399,7,Ba,64,internal,,,,,,
-14.173687219600001,-16.6109008789,-14.999885205899998,8,Ba,64,internal,,,,,,
-14.173687219600001,-12.4581756589,-27.0937004089,9,Ba,64,internal,,,,,,
-14.173687219600001,-12.4581756589,-23.062428674899998,10,Ba,64,internal,,,,,,
-14.173687219600001,-12.4581756589,-19.0311569399,11,Ba,64,internal,,,,,,
-14.173687219600001,-12.4581756589,-14.999885205899998,12,Ba,64,internal,,,,,,
-10.124062299600002,-12.4581756589,-27.0937004089,13,Ba,64,internal,,,,,,
-10.124062299600002,-12.4581756589,-23.062428674899998,14,Ba,64,internal,,,,,,
-10.124062299600002,-12.4581756589,-19.0311569399,15,Ba,64,internal,,,,,,
-10.124062299600002,-12.4581756589,-14.999885205899998,16,Ba,64,internal,,,,,,
-14.173687219600001,-8.305450439900001,-27.0937004089,17,Ba,64,internal,,,,,,
-14.173687219600001,-8.305450439900001,-23.062428674899998,18,Ba,64,internal,,,,,,
-14.173687219600001,-8.305450439900001,-19.0311569399,19,Ba,64,internal,,,,,,
-14.173687219600001,-8.305450439900001,-14.999885205899998,20,Ba,64,internal,,,,,,
-10.124062299600002,-8.305450439900001,-27.0937004089,21,Ba,64,internal,,,,,,
-10.124062299600002,-8.305450439900001,-23.062428674899998,22,Ba,64,internal,,,,,,
-10.124062299600002,-8.305450439900001,-19.0311569399,23,Ba,64,internal,,,,,,
-10.124062299600002,-8.305450439900001,-14.999885205899998,24,Ba,64,internal,,,,,,
-10.124062299600002,-4.152725219900001,-27.0937004089,25,Ba,64,internal,,,,,,
-10.124062299600002,-4.152725219900001,-23.062428674899998,26,Ba,64,internal,,,,,,
-10.124062299600002,-4.152725219900001,-19.0311569399,27,Ba,64,internal,,,,,,
-10.124062299600002,-4.152725219900001,-14.999885205899998,28,Ba,64,internal,,,,,,
-14.173687219600001,-4.152725219900001,-27.0937004089,29,Ba,64,internal,,,,,,
-14.173687219600001,-4.152725219900001,-23.062428674899998,30,Ba,64,internal,,,,,,
-14.173687219600001,-4.152725219900001,-19.0311569399,31,Ba,64,internal,,,,,,
-14.173687219600001,-4.152725219900001,-14.999885205899998,32,Ba,64,internal,,,,,,
-2.0248124596000014,-16.6109008789,-27.0937004089,33,Ba,64,internal,,,,,,
-2.0248124596000014,-16.6109008789,-23.062428674899998,34,Ba,64,internal,,,,,,
-2.0248124596000014,-16.6109008789,-19.0311569399,35,Ba,64,internal,,,,,,
