xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
-8.0712003708,-8.0712003708,-27.1067008972,1,Ba,16,internal,,,,,,,2.24
-8.0712003708,-8.0712003708,-23.0710549352,2,Ba,16,internal,,,,,,,2.24
-8.0712003708,-8.0712003708,-19.0356807712,3,Ba,16,internal,,,,,,,2.24
-8.0712003708,-8.0712003708,-15.0000352862,4,Ba,16,internal,,,,,,,2.24
-4.0356001858,-8.0712003708,-27.1067008972,5,Ba,16,internal,,,,,,,2.24
-4.0356001858,-8.0712003708,-23.0710549352,6,Ba,16,internal,,,,,,,2.24
-4.0356001858,-8.0712003708,-19.0356807712,7,Ba,16,internal,,,,,,,2.24
-4.0356001858,-8.0712003708,-15.0000352862,8,Ba,16,internal,,,,,,,2.24
-8.0712003708,-4.0356001858,-27.1067008972,9,Ba,16,internal,,,,,,,2.24
-8.0712003708,-4.0356001858,-23.0710549352,10,Ba,16,internal,,,,,,,2.24
-8.0712003708,-4.0356001858,-19.0356807712,11,Ba,16,internal,,,,,,,2.24
-8.0712003708,-4.0356001858,-15.0000352862,12,Ba,16,internal,,,,,,,2.24
-4.0356001858,-4.0356001858,-27.1067008972,13,Ba,16,internal,,,,,,,2.24
-4.0356001858,-4.0356001858,-23.0710549352,14,Ba,16,internal,,,,,,,2.24
-4.0356001858,-4.0356001858,-19.0356807712,15,Ba,16,internal,,,,,,,2.24
-4.0356001858,-4.0356001858,-15.0000352862,16,Ba,16,internal,,,,,,,2.24
-6.0534002778,-6.0534002778,-25.088877916199998,17,Ti,12,internal,,,,,,,1.47
-6.0534002778,-6.0534002778,-21.0532321932,18,Ti,12,internal,,,,,,,1.47
-6.0534002778,-6.0534002778,-17.0178575512,19,Ti,12,internal,,,,,,,1.47
-2.0178003308,-6.0534002778,-25.088877916199998,20,Ti,12,internal,,,,,,,1.47
-2.0178003308,-6.0534002778,-21.0532321932,21,Ti,12,internal,,,,,,,1.47
-2.0178003308,-6.0534002778,-17.0178575512,22,Ti,12,internal,,,,,,,1.47
-6.0534002778,-2.0178003308,-25.088877916199998,23,Ti,12,internal,,,,,,,1.47
-6.0534002778,-2.0178003308,-21.0532321932,24,Ti,12,internal,,,,,,,1.47
-6.0534002778,-2.0178003308,-17.0178575512,25,Ti,12,internal,,,,,,,1.47
-2.0178003308,-2.0178003308,-25.088877916199998,26,Ti,12,internal,,,,,,,1.47
-2.0178003308,-2.0178003308,-21.0532321932,27,Ti,12,internal,,,,,,,1.47
-2.0178003308,-2.0178003308,-17.0178575512,28,Ti,12,internal,,,,,,,1.47
-8.0712003708,-6.0534002778,-25.088877916199998,29,O,40,internal,,,,,,,0.74
-8.0712003708,-6.0534002778,-21.0532321932,30,O,40,internal,,,,,,,0.74
-8.0712003708,-6.0534002778,-17.0178575512,31,O,40,internal,,,,,,,0.74
-6.0534002778,-8.0712003708,-25.088877916199998,32,O,40,internal,,,,,,,0.74
-6.0534002778,-8.0712003708,-21.0532321932,33,O,40,internal,,,,,,,0.74
-6.0534002778,-8.0712003708,-17.0178575512,34,O,40,internal,,,,,,,0.74
-6.0534002778,-6.0534002778,-27.1067008972,35,O,40,internal,,,,,,,0.74
-6.0534002778,-6.0534002778,-23.0710549352,36,O,40,internal,,,,,,,0.74
-6.0534002778,-6.0534002778,-19.0356807712,37,O,40,internal,,,,,,,0.74
-6.0534002778,-6.0534002778,-15.0000352862,38,O,40,internal,,,,,,,0.74
-4.0356001858,-6.0534002778,-25.088877916199998,39,O,40,internal,,,,,,,0.74
-4.0356001858,-6.0534002778,-21.0532321932,40,O,40,internal,,,,,,,0.74
-4.0356001858,-6.0534002778,-17.0178575512,41,O,40,internal,,,,,,,0.74
-2.0178003308,-8.0712003708,-25.088877916199998,42,O,40,internal,,,,,,,0.74
-2.0178003308,-8.0712003708,-21.0532321932,43,O,40,internal,,,,,,,0.74
-2.0178003308,-8.0712003708,-17.0178575512,44,O,40,internal,,,,,,,0.74
-2.0178003308,-6.0534002778,-27.1067008972,45,O,40,internal,,,,,,,0.74
-2.0178003308,-6.0534002778,-23.0710549352,46,O,40,internal,,,,,,,0.74
-2.0178003308,-6.0534002778,-19.0356807712,47,O,40,internal,,,,,,,0.74
-2.0178003308,-6.0534002778,-15.0000352862,48,O,40,internal,,,,,,,0.74
-8.0712003708,-2.0178003308,-25.088877916199998,49,O,40,internal,,,,,,,0.74
-8.0712003708,-2.0178003308,-21.0532321932,50,O,40,internal,,,,,,,0.74
-8.0712003708,-2.0178003308,-17.0178575512,51,O,40,internal,,,,,,,0.74
-6.0534002778,-4.0356001858,-25.088877916199998,52,O,40,internal,,,,,,,0.74
-6.0534002778,-4.0356001858,-21.0532321932,53,O,40,internal,,,,,,,0.74
-6.0534002778,-4.0356001858,-17.0178575512,54,O,40,internal,,,,,,,0.74
-6.0534002778,-2.0178003308,-27.1067008972,55,O,40,internal,,,,,,,0.74
-6.0534002778,-2.0178003308,-23.0710549352,56,O,40,internal,,,,,,,0.74
-6.0534002778,-2.0178003308,-19.0356807712,57,O,40,internal,,,,,,,0.74
-6.0534002778,-2.0178003308,-15.0000352862,58,O,40,internal,,,,,,,0.74
-4.0356001858,-2.0178003308,-25.088877916199998,59,O,40,internal,,,,,,,0.74
-4.0356001858,-2.0178003308,-21.0532321932,60,O,40,internal,,,,,,,0.74
-4.0356001858,-2.0178003308,-17.0178575512,61,O,40,internal,,,,,,,0.74
-2.0178003308,-4.0356001858,-25.088877916199998,62,O,40,internal,,,,,,,0.74
-2.0178003308,-4.0356001858,-21.0532321932,63,O,40,internal,,,,,,,0.74
-2.0178003308,-4.0356001858,-17.0178575512,64,O,40,internal,,,,,,,0.74
-2.0178003308,-2.0178003308,-27.1067008972,65,O,40,internal,,,,,,,0.74
-2.0178003308,-2.0178003308,-23.0710549352,66,O,40,internal,,,,,,,0.74
-2.0178003308,-2.0178003308,-19.0356807712,67,O,40,internal,,,,,,,0.74
-2.0178003308,-2.0178003308,-15.0000352862,68,O,40,internal,,,,,,,0.74
