xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta
-9.219149589599999,-15.9680354917,-39.959238094,1,Bi,192,internal,,,,,,
-9.219149589599999,-15.9680354917,-27.983668017,2,Bi,192,internal,,,,,,
-6.9142700816,-14.6374191267,-42.367401123,3,Bi,192,internal,,,,,,
-6.9142700816,-14.6374191267,-30.391831205000003,4,Bi,192,internal,,,,,,
-6.9142700816,-14.6374191267,-35.967381507,5,Bi,192,internal,,,,,,
-6.9142700816,-14.6374191267,-23.99181222,6,Bi,192,internal,,,,,,
-9.219241768599998,-13.3066431027,-38.375544694,7,Bi,192,internal,,,,,,
-9.219241768599998,-13.3066431027,-26.399975407,8,Bi,192,internal,,,,,,
-9.219241768599998,-13.3066431027,-31.975525078,9,Bi,192,internal,,,,,,
-9.219241768599998,-13.3066431027,-19.999956422,10,Bi,192,internal,,,,,,
-9.219149589599999,-15.9680354917,-34.383688265,11,Bi,192,internal,,,,,,
-9.219149589599999,-15.9680354917,-22.408118347000002,12,Bi,192,internal,,,,,,
-4.6095747945999985,-15.9680354917,-39.959238094,13,Bi,192,internal,,,,,,
-4.6095747945999985,-15.9680354917,-27.983668017,14,Bi,192,internal,,,,,,
-2.3046952865999994,-14.6374191267,-42.367401123,15,Bi,192,internal,,,,,,
-2.3046952865999994,-14.6374191267,-30.391831205000003,16,Bi,192,internal,,,,,,
-2.3046952865999994,-14.6374191267,-35.967381507,17,Bi,192,internal,,,,,,
-2.3046952865999994,-14.6374191267,-23.99181222,18,Bi,192,internal,,,,,,
-4.609666836599999,-13.3066431027,-38.375544694,19,Bi,192,internal,,,,,,
-4.609666836599999,-13.3066431027,-26.399975407,20,Bi,192,internal,,,,,,
-4.609666836599999,-13.3066431027,-31.975525078,21,Bi,192,internal,,,,,,
-4.609666836599999,-13.3066431027,-19.999956422,22,Bi,192,internal,,,,,,
-4.6095747945999985,-15.9680354917,-34.383688265,23,Bi,192,internal,,,,,,
-4.6095747945999985,-15.9680354917,-22.408118347000002,24,Bi,192,internal,,,,,,
4.000018094529878e-10,-15.9680354917,-39.959238094,25,Bi,192,internal,,,,,,
4.000018094529878e-10,-15.9680354917,-27.983668017,26,Bi,192,internal,,,,,,
2.304880057400002,-14.6374191267,-42.367401123,27,Bi,192,internal,,,,,,
2.304880057400002,-14.6374191267,-30.391831205000003,28,Bi,192,internal,,,,,,
2.304880057400002,-14.6374191267,-35.967381507,29,Bi,192,internal,,,,,,
2.304880057400002,-14.6374191267,-23.99181222,30,Bi,192,internal,,,,,,
-9.259159999963629e-05,-13.3066431027,-38.375544694,31,Bi,192,internal,,,,,,
-9.259159999963629e-05,-13.3066431027,-26.399975407,32,Bi,192,internal,,,,,,
-9.259159999963629e-05,-13.3066431027,-31.975525078,33,Bi,192,internal,,,,,,
-9.259159999963629e-05,-13.3066431027,-19.999956422,34,Bi,192,internal,,,,,,
4.000018094529878e-10,-15.9680354917,-34.383688265,35,Bi,192,internal,,,,,,
4.000018094529878e-10,-15.9680354917,-22.408118347000002,36,Bi,192,internal,,,,,,
4.6095747944,-15.9680354917,-39.959238094,37,Bi,192,internal,,,,,,
4.6095747944,-15.9680354917,-27.983668017,38,Bi,192,internal,,,,,,
6.9144548524000005,-14.6374191267,-42.367401123,39,Bi,192,internal,,,,,,
6.9144548524000005,-14.6374191267,-30.391831205000003,40,Bi,192,internal,,,,,,
6.9144548524000005,-14.6374191267,-35.967381507,41,Bi,192,internal,,,,,,
6.9144548524000005,-14.6374191267,-23.99181222,42,Bi,192,internal,,,,,,
4.609482203400001,-13.3066431027,-38.375544694,43,Bi,192,internal,,,,,,
4.609482203400001,-13.3066431027,-26.399975407,44,Bi,192,internal,,,,,,
4.609482203400001,-13.3066431027,-31.975525078,45,Bi,192,internal,,,,,,
4.609482203400001,-13.3066431027,-19.999956422,46,Bi,192,internal,,,,,,
4.6095747944,-15.9680354917,-34.383688265,47,Bi,192,internal,,,,,,
4.6095747944,-15.9680354917,-22.408118347000002,48,Bi,192,internal,,,,,,
