xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta
-10.9349002838,-10.9349002838,-31.4023990631,1,Ce,56,internal,,,,,,
-10.9349002838,-10.9349002838,-25.9349274631,2,Ce,56,internal,,,,,,
-10.9349002838,-10.9349002838,-20.4674558641,3,Ce,56,internal,,,,,,
-10.9349002838,-10.9349002838,-14.9999847411,4,Ce,56,internal,,,,,,
-10.9349002838,-8.201175212799999,-28.668820381099998,5,Ce,56,internal,,,,,,
-10.9349002838,-8.201175212799999,-23.2013492581,6,Ce,56,internal,,,,,,
-10.9349002838,-8.201175212799999,-17.7338762281,7,Ce,56,internal,,,,,,
-8.201175212799999,-10.9349002838,-28.668820381099998,8,Ce,56,internal,,,,,,
-8.201175212799999,-10.9349002838,-23.2013492581,9,Ce,56,internal,,,,,,
-8.201175212799999,-10.9349002838,-17.7338762281,10,Ce,56,internal,,,,,,
-8.201175212799999,-8.201175212799999,-31.4023990631,11,Ce,56,internal,,,,,,
-8.201175212799999,-8.201175212799999,-25.9349274631,12,Ce,56,internal,,,,,,
-8.201175212799999,-8.201175212799999,-20.4674558641,13,Ce,56,internal,,,,,,
-8.201175212799999,-8.201175212799999,-14.9999847411,14,Ce,56,internal,,,,,,
-5.4674501418,-10.9349002838,-31.4023990631,15,Ce,56,internal,,,,,,
-5.4674501418,-10.9349002838,-25.9349274631,16,Ce,56,internal,,,,,,
-5.4674501418,-10.9349002838,-20.4674558641,17,Ce,56,internal,,,,,,
-5.4674501418,-10.9349002838,-14.9999847411,18,Ce,56,internal,,,,,,
-5.4674501418,-8.201175212799999,-28.668820381099998,19,Ce,56,internal,,,,,,
-5.4674501418,-8.201175212799999,-23.2013492581,20,Ce,56,internal,,,,,,
-5.4674501418,-8.201175212799999,-17.7338762281,21,Ce,56,internal,,,,,,
-2.7337245938,-10.9349002838,-28.668820381099998,22,Ce,56,internal,,,,,,
-2.7337245938,-10.9349002838,-23.2013492581,23,Ce,56,internal,,,,,,
-2.7337245938,-10.9349002838,-17.7338762281,24,Ce,56,internal,,,,,,
-2.7337245938,-8.201175212799999,-31.4023990631,25,Ce,56,internal,,,,,,
-2.7337245938,-8.201175212799999,-25.9349274631,26,Ce,56,internal,,,,,,
-2.7337245938,-8.201175212799999,-20.4674558641,27,Ce,56,internal,,,,,,
-2.7337245938,-8.201175212799999,-14.9999847411,28,Ce,56,internal,,,,,,
-10.9349002838,-5.4674501418,-31.4023990631,29,Ce,56,internal,,,,,,
-10.9349002838,-5.4674501418,-25.9349274631,30,Ce,56,internal,,,,,,
-10.9349002838,-5.4674501418,-20.4674558641,31,Ce,56,internal,,,,,,
-10.9349002838,-5.4674501418,-14.9999847411,32,Ce,56,internal,,,,,,
-10.9349002838,-2.7337245938,-28.668820381099998,33,Ce,56,internal,,,,,,
-10.9349002838,-2.7337245938,-23.2013492581,34,Ce,56,internal,,,,,,
-10.9349002838,-2.7337245938,-17.7338762281,35,Ce,56,internal,,,,,,
-8.201175212799999,-5.4674501418,-28.668820381099998,36,Ce,56,internal,,,,,,
-8.201175212799999,-5.4674501418,-23.2013492581,37,Ce,56,internal,,,,,,
-8.201175212799999,-5.4674501418,-17.7338762281,38,Ce,56,internal,,,,,,
-8.201175212799999,-2.7337245938,-31.4023990631,39,Ce,56,internal,,,,,,
-8.201175212799999,-2.7337245938,-25.9349274631,40,Ce,56,internal,,,,,,
-8.201175212799999,-2.7337245938,-20.4674558641,41,Ce,56,internal,,,,,,
-8.201175212799999,-2.7337245938,-14.9999847411,42,Ce,56,internal,,,,,,
-5.4674501418,-5.4674501418,-31.4023990631,43,Ce,56,internal,,,,,,
-5.4674501418,-5.4674501418,-25.9349274631,44,Ce,56,internal,,,,,,
-5.4674501418,-5.4674501418,-20.4674558641,45,Ce,56,internal,,,,,,
-5.4674501418,-5.4674501418,-14.9999847411,46,Ce,56,internal,,,,,,
-5.4674501418,-2.7337245938,-28.668820381099998,47,Ce,56,internal,,,,,,
-5.4674501418,-2.7337245938,-23.2013492581,48,Ce,56,internal,,,,,,
-5.4674501418,-2.7337245938,-17.7338762281,49,Ce,56,internal,,,,,,
-2.7337245938,-5.4674501418,-28.668820381099998,50,Ce,56,internal,,,,,,
-2.7337245938,-5.4674501418,-23.2013492581,51,Ce,56,internal,,,,,,
-2.7337245938,-5.4674501418,-17.7338762281,52,Ce,56,internal,,,,,,
-2.7337245938,-2.7337245938,-31.4023990631,53,Ce,56,internal,,,,,,
-2.7337245938,-2.7337245938,-25.9349274631,54,Ce,56,internal,,,,,,
-2.7337245938,-2.7337245938,-20.4674558641,55,Ce,56,internal,,,,,,
-2.7337245938,-2.7337245938,-14.9999847411,56,Ce,56,internal,,,,,,
-9.568037748799998,-9.568037748799998,-27.3018741611,57,O,96,internal,,,,,,
-9.568037748799998,-9.568037748799998,-21.8344020841,58,O,96,internal,,,,,,
-9.568037748799998,-9.568037748799998,-16.3669300081,59,O,96,internal,,,,,,
-9.568037748799998,-6.8343124388,-27.3018741611,60,O,96,internal,,,,,,
-9.568037748799998,-6.8343124388,-21.8344020841,61,O,96,internal,,,,,,
-9.568037748799998,-6.8343124388,-16.3669300081,62,O,96,internal,,,,,,
-9.568037748799998,-6.8343124388,-30.0354527231,63,O,96,internal,,,,,,
-9.568037748799998,-6.8343124388,-24.5679812431,64,O,96,internal,,,,,,
-9.568037748799998,-6.8343124388,-19.1005086901,65,O,96,internal,,,,,,
-9.568037748799998,-9.568037748799998,-30.0354527231,66,O,96,internal,,,,,,
