xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
2.278812408,2.278812408,2.278920174,1,Co,64,internal,6,0.47820890041729397,-0.8137157106063554,5.150928343669818,5.236685956952834,153.67063617751813,1.25
2.278812408,2.278812408,11.394218445,2,Co,64,internal,6,-3.849521296936387e-05,-6.957961080900077e-05,-0.001190507423253162,0.001193160143686828,135.53495425037391,1.25
6.836437225,2.278812408,2.278920174,3,Co,64,internal,6,-0.4782090564248954,-0.8137156960980425,5.150928478791971,5.236686101854232,153.67063337190217,1.25
6.836437225,2.278812408,11.394218445,4,Co,64,internal,6,3.8328571667967104e-05,-6.9567708552154e-05,-0.0011903588734361592,0.0011930058646324863,135.53393131550484,1.25
2.278812408,6.836437225,2.278920174,5,Co,64,internal,6,0.478209087667226,0.8137154818981133,5.150928414970425,5.236686008646874,153.67063190495105,1.25
2.278812408,6.836437225,11.394218445,6,Co,64,internal,6,-3.834666106700135e-05,6.941294497220252e-05,-0.0011904955365275582,0.0011931337920940554,135.5358389679654,1.25
2.278812408,2.278812408,6.836377621,7,Co,64,internal,6,-0.39341696623502187,0.6556837952848841,0.6444399245106389,1.0000004825119015,163.84585418620205,1.25
2.278812408,2.278812408,15.951676369,8,Co,64,internal,6,0.4782459050152017,-0.8137608390751021,-5.151526272459113,5.237284485753328,153.67085536025704,1.25
6.836437225,6.836437225,6.836377621,9,Co,64,internal,6,0.3934166405672934,-0.6556839972158642,0.6444397466675192,1.000000372182493,163.84586901535926,1.25
6.836437225,6.836437225,15.951676369,10,Co,64,internal,6,-0.478246248288741,0.8137605958703606,-5.151526478889891,5.237284682361388,153.67084828222664,1.25
2.278812408,6.836437225,6.836377621,11,Co,64,internal,6,-0.3934168070839984,-0.6556839853690586,0.6444398952615988,1.000000525685062,163.84585794358622,1.25
2.278812408,6.836437225,15.951676369,12,Co,64,internal,6,0.47824609226410897,0.8137606103757964,-5.1515263437592544,5.237284537449791,153.67085108825736,1.25
6.836437225,2.278812408,6.836377621,13,Co,64,internal,6,0.39341679971832266,0.6556838071316766,0.6444397759165541,1.0000003290092834,163.84586525793668,1.25
6.836437225,2.278812408,15.951676369,14,Co,64,internal,6,-0.47824606103982936,-0.8137608245696752,-5.151526407589751,5.237284630664921,153.67085255422444,1.25
6.836437225,6.836437225,2.278920174,15,Co,64,internal,6,-0.4782092436748313,0.8137154673897906,5.150928550092574,5.236686153548274,153.67062909933702,1.25
6.836437225,6.836437225,11.394218445,16,Co,64,internal,6,3.8180019757860784e-05,6.940104270286573e-05,-0.00119034698671458,0.0011929795335283149,135.5351010379729,1.25
11.394062042,2.278812408,2.278920174,17,Co,64,internal,6,-0.16624558267959788,-1.2071367980911853,5.806594767392907,5.933073371852148,151.66585248961775,1.25
11.394062042,2.278812408,11.394218445,18,Co,64,internal,6,-0.644493046550187,-0.39349068040154783,0.6544758291286353,0.9992721418752898,163.84511489198775,1.25
15.951686859,2.278812408,2.278920174,19,Co,64,internal,6,0.1662448816647304,-1.207136731972866,5.806594781597674,5.933073352659243,151.66585359508332,1.25
15.951686859,2.278812408,11.394218445,20,Co,64,internal,6,6.550472742627989e-05,-8.692183818281851e-05,-0.0012280388550715005,0.0012328526695569073,163.84635395127432,1.25
11.394062042,6.836437225,2.278920174,21,Co,64,internal,6,-0.1662453953858849,1.2071365695288654,5.806594838648982,5.933073389838181,151.66585111696423,1.25
11.394062042,6.836437225,11.394218445,22,Co,64,internal,6,-0.6444928979545013,0.39349051388162987,0.6544758409708304,0.9992719882209729,163.84512597704804,1.25
11.394062042,2.278812408,6.836377621,23,Co,64,internal,6,-1.0378715001246472,0.2622627051698573,-0.011226435598860773,1.0705535998492801,168.0239911747347,1.25
11.394062042,2.278812408,15.951676369,24,Co,64,internal,6,-0.16618064591858273,-1.2071648747971502,-5.807230380401747,5.933699329514679,151.66395434351247,1.25
15.951686859,6.836437225,6.836377621,25,Co,64,internal,6,0.39341593665971797,-0.6556836627449623,0.6444398129172644,0.9999999186406624,163.54685985695335,1.25
15.951686859,6.836437225,15.951676369,26,Co,64,internal,6,0.16617975765628823,1.2071645801421755,-5.807230465834308,5.933699328304282,151.6639540781786,1.25
11.394062042,6.836437225,6.836377621,27,Co,64,internal,6,-1.0378713409298421,-0.2622628951081125,-0.011226464803366365,1.0705534923514932,168.02399437853086,1.25
11.394062042,6.836437225,15.951676369,28,Co,64,internal,6,-0.16618045862590047,1.2071646462437624,-5.807230451657361,5.933699347508812,151.66395297173256,1.25
15.951686859,2.278812408,6.836377621,29,Co,64,internal,6,0.3934160958982796,0.6556834729526317,0.6444398420772265,0.9999998756357871,163.54685969085,1.25
15.951686859,2.278812408,15.951676369,30,Co,64,internal,6,0.16617994494895472,-1.2071648086955618,-5.8072303945787045,5.933699310310135,151.66395544995885,1.25
15.951686859,6.836437225,2.278920174,31,Co,64,internal,6,0.16624469437103223,1.2071365034105486,5.806594852853739,5.933073370645293,151.66585222242946,1.25
15.951686859,6.836437225,11.394218445,32,Co,64,internal,6,6.535608799140835e-05,8.675546418401847e-05,-0.001228027057419312,0.0012328213100677888,163.84635909502862,1.25
2.278812408,11.394062042,2.278920174,33,Co,64,internal,6,1.1338844823408087,-1.4581551542380349,4.757497866958655,5.103498449812675,153.63250669967425,1.25
2.278812408,11.394062042,11.394218445,34,Co,64,internal,6,0.6556370321541416,-0.6445089715258283,-0.3946211228810109,1.000488662071211,163.84829292675755,1.25
6.836437225,11.394062042,2.278920174,35,Co,64,internal,6,-1.1338846617722993,-1.4581551223682816,4.757498012680002,5.103498616414578,153.63250417420403,1.25
6.836437225,11.394062042,11.394218445,36,Co,64,internal,6,-0.6556372222193362,-0.6445089422621344,-0.3946209637319963,1.0004887049997677,163.84829669877632,1.25
2.278812408,15.951686859,2.278920174,37,Co,64,internal,6,0.47819202166012903,0.8136982301039526,5.150872258986771,5.2366265331464295,149.20539444668748,1.25
2.278812408,15.951686859,11.394218445,38,Co,64,internal,6,-5.5457599290598125e-05,5.183511939471641e-05,-0.001246880431330366,0.001249189030914193,163.84547076112457,1.25
2.278812408,11.394062042,6.836377621,39,Co,64,internal,6,0.26225860359127684,0.011244293885628753,1.0378703661245277,1.070551683097128,168.02171353468242,1.25
2.278812408,11.394062042,15.951676369,40,Co,64,internal,6,1.133921571924962,-1.4582003661783456,-4.758096074134071,5.104077261355817,153.6330278529585,1.25
6.836437225,15.951686859,6.836377621,41,Co,64,internal,6,0.39341655099354467,-0.655684769714725,0.6444400482799684,1.0000010378287596,155.44377329093663,1.25
6.836437225,15.951686859,15.951676369,42,Co,64,internal,6,-0.47824645716750347,0.8137601208456277,-5.151526597684928,5.237284744476589,149.20141021473484,1.25
2.278812408,15.951686859,6.836377621,43,Co,64,internal,6,-0.39341683468867805,-0.6556846710168149,0.6444402498966516,1.0000012146541355,155.4437667335092,1.25
2.278812408,15.951686859,15.951676369,44,Co,64,internal,6,0.4782461839644361,0.8137602222021567,-5.151526409531677,5.237284550205133,149.20141452250195,1.25
6.836437225,11.394062042,6.836377621,45,Co,64,internal,6,-0.26225879353186343,0.01124432309386425,1.0378702069312498,1.0705515756011679,168.02171673744513,1.25
6.836437225,11.394062042,15.951676369,46,Co,64,internal,6,-1.1339217513734774,-1.4582003343114724,-4.758096219863901,5.10407742796944,153.6330253270679,1.25
6.836437225,15.951686859,2.278920174,47,Co,64,internal,6,-0.4781922948449288,0.8136981287391138,5.150872447127716,5.236626727402103,149.20539014035123,1.25
6.836437225,15.951686859,11.394218445,48,Co,64,internal,6,5.517378078956359e-05,5.173636059913056e-05,-0.0012466788627282233,0.0012489711701508543,163.84547943451096,1.25
