xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
-11.1490645718,-8.515157873,-29.930959285,1,La,32,internal,,,,,,,1.88
-11.1490645718,-8.515157873,-21.986145311,2,La,32,internal,,,,,,,1.88
-8.3486646468,-10.912859369,-33.903187384,3,La,32,internal,,,,,,,1.88
-8.3486646468,-10.912859369,-25.958372607999998,4,La,32,internal,,,,,,,1.88
-8.4537356318,-5.684207852,-29.930959285,5,La,32,internal,,,,,,,1.88
-8.4537356318,-5.684207852,-21.986145311,6,La,32,internal,,,,,,,1.88
-5.6533354458,-8.081909474,-33.903187384,7,La,32,internal,,,,,,,1.88
-5.6533354458,-8.081909474,-25.958372607999998,8,La,32,internal,,,,,,,1.88
-5.5482646288,-8.515157873,-29.930959285,9,La,32,internal,,,,,,,1.88
-5.5482646288,-8.515157873,-21.986145311,10,La,32,internal,,,,,,,1.88
-2.7478646098000006,-10.912859369,-33.903187384,11,La,32,internal,,,,,,,1.88
-2.7478646098000006,-10.912859369,-25.958372607999998,12,La,32,internal,,,,,,,1.88
-2.8529354278000003,-5.684207852,-29.930959285,13,La,32,internal,,,,,,,1.88
-2.8529354278000003,-5.684207852,-21.986145311,14,La,32,internal,,,,,,,1.88
-0.05253540880000074,-8.081909474,-33.903187384,15,La,32,internal,,,,,,,1.88
-0.05253540880000074,-8.081909474,-25.958372607999998,16,La,32,internal,,,,,,,1.88
-11.1490645718,-2.8532578300000004,-29.930959285,17,La,32,internal,,,,,,,1.88
-11.1490645718,-2.8532578300000004,-21.986145311,18,La,32,internal,,,,,,,1.88
-8.3486646468,-5.250959452,-33.903187384,19,La,32,internal,,,,,,,1.88
-8.3486646468,-5.250959452,-25.958372607999998,20,La,32,internal,,,,,,,1.88
-8.4537356318,-0.02230780800000076,-29.930959285,21,La,32,internal,,,,,,,1.88
-8.4537356318,-0.02230780800000076,-21.986145311,22,La,32,internal,,,,,,,1.88
-5.6533354458,-2.4200094300000003,-33.903187384,23,La,32,internal,,,,,,,1.88
-5.6533354458,-2.4200094300000003,-25.958372607999998,24,La,32,internal,,,,,,,1.88
-5.5482646288,-2.8532578300000004,-29.930959285,25,La,32,internal,,,,,,,1.88
-5.5482646288,-2.8532578300000004,-21.986145311,26,La,32,internal,,,,,,,1.88
-2.7478646098000006,-5.250959452,-33.903187384,27,La,32,internal,,,,,,,1.88
-2.7478646098000006,-5.250959452,-25.958372607999998,28,La,32,internal,,,,,,,1.88
-2.8529354278000003,-0.02230780800000076,-29.930959285,29,La,32,internal,,,,,,,1.88
-2.8529354278000003,-0.02230780800000076,-21.986145311,30,La,32,internal,,,,,,,1.88
-0.05253540880000074,-2.4200094300000003,-33.903187384,31,La,32,internal,,,,,,,1.88
-0.05253540880000074,-2.4200094300000003,-25.958372607999998,32,La,32,internal,,,,,,,1.88
-8.4012000558,-8.298533674,-31.917073467999998,33,Fe,40,internal,,,,,,,1.26
-8.4012000558,-8.298533674,-23.972258959,34,Fe,40,internal,,,,,,,1.26
-11.2016000748,-11.129483674000001,-31.917073467999998,35,Fe,40,internal,,,,,,,1.26
-11.2016000748,-11.129483674000001,-23.972258959,36,Fe,40,internal,,,,,,,1.26
-11.2016000748,-11.129483674000001,-35.8893013,37,Fe,40,internal,,,,,,,1.26
-11.2016000748,-11.129483674000001,-27.944486791,38,Fe,40,internal,,,,,,,1.26
-11.2016000748,-11.129483674000001,-20.000030592,39,Fe,40,internal,,,,,,,1.26
-8.4012000558,-8.298533674,-35.8893013,40,Fe,40,internal,,,,,,,1.26
-8.4012000558,-8.298533674,-27.944486791,41,Fe,40,internal,,,,,,,1.26
-8.4012000558,-8.298533674,-20.000030592,42,Fe,40,internal,,,,,,,1.26
-2.8004000187999996,-8.298533674,-31.917073467999998,43,Fe,40,internal,,,,,,,1.26
-2.8004000187999996,-8.298533674,-23.972258959,44,Fe,40,internal,,,,,,,1.26
-5.6008000378,-11.129483674000001,-31.917073467999998,45,Fe,40,internal,,,,,,,1.26
-5.6008000378,-11.129483674000001,-23.972258959,46,Fe,40,internal,,,,,,,1.26
-5.6008000378,-11.129483674000001,-35.8893013,47,Fe,40,internal,,,,,,,1.26
-5.6008000378,-11.129483674000001,-27.944486791,48,Fe,40,internal,,,,,,,1.26
-5.6008000378,-11.129483674000001,-20.000030592,49,Fe,40,internal,,,,,,,1.26
-2.8004000187999996,-8.298533674,-35.8893013,50,Fe,40,internal,,,,,,,1.26
-2.8004000187999996,-8.298533674,-27.944486791,51,Fe,40,internal,,,,,,,1.26
-2.8004000187999996,-8.298533674,-20.000030592,52,Fe,40,internal,,,,,,,1.26
-8.4012000558,-2.6366336300000004,-31.917073467999998,53,Fe,40,internal,,,,,,,1.26
-8.4012000558,-2.6366336300000004,-23.972258959,54,Fe,40,internal,,,,,,,1.26
-11.2016000748,-5.467583652,-31.917073467999998,55,Fe,40,internal,,,,,,,1.26
