xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta
-12.238537788599999,-12.238537788599999,-23.7417206766,1,Mn,32,internal,,,,,,
-12.238537788599999,-12.238537788599999,-16.748340606600003,2,Mn,32,internal,,,,,,
-12.238537788599999,-8.7418127056,-27.238410472600002,3,Mn,32,internal,,,,,,
-12.238537788599999,-8.7418127056,-20.2450304036,4,Mn,32,internal,,,,,,
-8.7418127056,-12.238537788599999,-27.238410472600002,5,Mn,32,internal,,,,,,
-8.7418127056,-12.238537788599999,-20.2450304036,6,Mn,32,internal,,,,,,
-8.7418127056,-8.7418127056,-23.7417206766,7,Mn,32,internal,,,,,,
-8.7418127056,-8.7418127056,-16.748340606600003,8,Mn,32,internal,,,,,,
-5.2450876236,-12.238537788599999,-23.7417206766,9,Mn,32,internal,,,,,,
-5.2450876236,-12.238537788599999,-16.748340606600003,10,Mn,32,internal,,,,,,
-5.2450876236,-8.7418127056,-27.238410472600002,11,Mn,32,internal,,,,,,
-5.2450876236,-8.7418127056,-20.2450304036,12,Mn,32,internal,,,,,,
-1.7483625415999988,-12.238537788599999,-27.238410472600002,13,Mn,32,internal,,,,,,
-1.7483625415999988,-12.238537788599999,-20.2450304036,14,Mn,32,internal,,,,,,
-1.7483625415999988,-8.7418127056,-23.7417206766,15,Mn,32,internal,,,,,,
-1.7483625415999988,-8.7418127056,-16.748340606600003,16,Mn,32,internal,,,,,,
-12.238537788599999,-5.2450876236,-23.7417206766,17,Mn,32,internal,,,,,,
-12.238537788599999,-5.2450876236,-16.748340606600003,18,Mn,32,internal,,,,,,
-12.238537788599999,-1.7483625415999988,-27.238410472600002,19,Mn,32,internal,,,,,,
-12.238537788599999,-1.7483625415999988,-20.2450304036,20,Mn,32,internal,,,,,,
-8.7418127056,-5.2450876236,-27.238410472600002,21,Mn,32,internal,,,,,,
-8.7418127056,-5.2450876236,-20.2450304036,22,Mn,32,internal,,,,,,
-8.7418127056,-1.7483625415999988,-23.7417206766,23,Mn,32,internal,,,,,,
-8.7418127056,-1.7483625415999988,-16.748340606600003,24,Mn,32,internal,,,,,,
-5.2450876236,-5.2450876236,-23.7417206766,25,Mn,32,internal,,,,,,
-5.2450876236,-5.2450876236,-16.748340606600003,26,Mn,32,internal,,,,,,
-5.2450876236,-1.7483625415999988,-27.238410472600002,27,Mn,32,internal,,,,,,
-5.2450876236,-1.7483625415999988,-20.2450304036,28,Mn,32,internal,,,,,,
-1.7483625415999988,-5.2450876236,-27.238410472600002,29,Mn,32,internal,,,,,,
-1.7483625415999988,-5.2450876236,-20.2450304036,30,Mn,32,internal,,,,,,
-1.7483625415999988,-1.7483625415999988,-23.7417206766,31,Mn,32,internal,,,,,,
-1.7483625415999988,-1.7483625415999988,-16.748340606600003,32,Mn,32,internal,,,,,,
-7.864134311599999,-11.360859870599999,-22.8642873766,33,Cu,128,internal,,,,,,
-7.864134311599999,-11.360859870599999,-15.870617866600002,34,Cu,128,internal,,,,,,
-11.360859870599999,-13.1162157656,-28.116133868600002,35,Cu,128,internal,,,,,,
-11.360859870599999,-13.1162157656,-21.1227545736,36,Cu,128,internal,,,,,,
-9.6194911006,-13.1162157656,-22.8642873766,37,Cu,128,internal,,,,,,
-9.6194911006,-13.1162157656,-15.870617866600002,38,Cu,128,internal,,,,,,
-13.1162157656,-11.360859870599999,-28.116133868600002,39,Cu,128,internal,,,,,,
-13.1162157656,-11.360859870599999,-21.1227545736,40,Cu,128,internal,,,,,,
-7.864134311599999,-7.864134311599999,-26.3609769346,41,Cu,128,internal,,,,,,
-7.864134311599999,-7.864134311599999,-19.367307662600002,42,Cu,128,internal,,,,,,
-11.360859870599999,-9.6194911006,-24.6194438936,43,Cu,128,internal,,,,,,
-11.360859870599999,-9.6194911006,-17.6260643006,44,Cu,128,internal,,,,,,
-9.6194911006,-9.6194911006,-26.3609769346,45,Cu,128,internal,,,,,,
-9.6194911006,-9.6194911006,-19.367307662600002,46,Cu,128,internal,,,,,,
-13.1162157656,-7.864134311599999,-24.6194438936,47,Cu,128,internal,,,,,,
-13.1162157656,-7.864134311599999,-17.6260643006,48,Cu,128,internal,,,,,,
-11.360859870599999,-11.360859870599999,-26.3609769346,49,Cu,128,internal,,,,,,
-11.360859870599999,-11.360859870599999,-19.367307662600002,50,Cu,128,internal,,,,,,
-7.864134311599999,-13.1162157656,-24.6194438936,51,Cu,128,internal,,,,,,
-7.864134311599999,-13.1162157656,-17.6260643006,52,Cu,128,internal,,,,,,
