xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
-19.5601005554,-19.5601005554,-24.7800998688,1,Os,24,internal,,,,,,,1.35
-19.5601005554,-19.5601005554,-15.0001376158,2,Os,24,internal,,,,,,,1.35
-19.5601005554,-14.6700754164,-19.889995042800003,3,Os,24,internal,,,,,,,1.35
-14.6700754164,-19.5601005554,-19.889995042800003,4,Os,24,internal,,,,,,,1.35
-14.6700754164,-14.6700754164,-24.7800998688,5,Os,24,internal,,,,,,,1.35
-14.6700754164,-14.6700754164,-15.0001376158,6,Os,24,internal,,,,,,,1.35
-9.780050277399999,-19.5601005554,-24.7800998688,7,Os,24,internal,,,,,,,1.35
-9.780050277399999,-19.5601005554,-15.0001376158,8,Os,24,internal,,,,,,,1.35
-9.780050277399999,-14.6700754164,-19.889995042800003,9,Os,24,internal,,,,,,,1.35
-4.890025138399999,-19.5601005554,-19.889995042800003,10,Os,24,internal,,,,,,,1.35
-4.890025138399999,-14.6700754164,-24.7800998688,11,Os,24,internal,,,,,,,1.35
-4.890025138399999,-14.6700754164,-15.0001376158,12,Os,24,internal,,,,,,,1.35
-19.5601005554,-9.780050277399999,-24.7800998688,13,Os,24,internal,,,,,,,1.35
-19.5601005554,-9.780050277399999,-15.0001376158,14,Os,24,internal,,,,,,,1.35
-19.5601005554,-4.890025138399999,-19.889995042800003,15,Os,24,internal,,,,,,,1.35
-14.6700754164,-9.780050277399999,-19.889995042800003,16,Os,24,internal,,,,,,,1.35
-14.6700754164,-4.890025138399999,-24.7800998688,17,Os,24,internal,,,,,,,1.35
-14.6700754164,-4.890025138399999,-15.0001376158,18,Os,24,internal,,,,,,,1.35
-9.780050277399999,-9.780050277399999,-24.7800998688,19,Os,24,internal,,,,,,,1.35
-9.780050277399999,-9.780050277399999,-15.0001376158,20,Os,24,internal,,,,,,,1.35
-9.780050277399999,-4.890025138399999,-19.889995042800003,21,Os,24,internal,,,,,,,1.35
-4.890025138399999,-9.780050277399999,-19.889995042800003,22,Os,24,internal,,,,,,,1.35
-4.890025138399999,-4.890025138399999,-24.7800998688,23,Os,24,internal,,,,,,,1.35
-4.890025138399999,-4.890025138399999,-15.0001376158,24,Os,24,internal,,,,,,,1.35
-17.1150879864,-12.225062847399998,-17.4449428138,25,N,32,internal,,,,,,,0.74
-17.1150879864,-17.1150879864,-17.4449428138,26,N,32,internal,,,,,,,0.74
-17.1150879864,-17.1150879864,-22.3350474558,27,N,32,internal,,,,,,,0.74
-17.1150879864,-12.225062847399998,-22.3350474558,28,N,32,internal,,,,,,,0.74
-12.225062847399998,-12.225062847399998,-22.3350474558,29,N,32,internal,,,,,,,0.74
-12.225062847399998,-17.1150879864,-22.3350474558,30,N,32,internal,,,,,,,0.74
-12.225062847399998,-17.1150879864,-17.4449428138,31,N,32,internal,,,,,,,0.74
-12.225062847399998,-12.225062847399998,-17.4449428138,32,N,32,internal,,,,,,,0.74
-7.335037708399998,-12.225062847399998,-17.4449428138,33,N,32,internal,,,,,,,0.74
-7.335037708399998,-17.1150879864,-17.4449428138,34,N,32,internal,,,,,,,0.74
-7.335037708399998,-17.1150879864,-22.3350474558,35,N,32,internal,,,,,,,0.74
-7.335037708399998,-12.225062847399998,-22.3350474558,36,N,32,internal,,,,,,,0.74
-2.4450125693999993,-12.225062847399998,-22.3350474558,37,N,32,internal,,,,,,,0.74
-2.4450125693999993,-17.1150879864,-22.3350474558,38,N,32,internal,,,,,,,0.74
-2.4450125693999993,-17.1150879864,-17.4449428138,39,N,32,internal,,,,,,,0.74
-2.4450125693999993,-12.225062847399998,-17.4449428138,40,N,32,internal,,,,,,,0.74
-17.1150879864,-2.4450125693999993,-17.4449428138,41,N,32,internal,,,,,,,0.74
-17.1150879864,-7.335037708399998,-17.4449428138,42,N,32,internal,,,,,,,0.74
-17.1150879864,-7.335037708399998,-22.3350474558,43,N,32,internal,,,,,,,0.74
-17.1150879864,-2.4450125693999993,-22.3350474558,44,N,32,internal,,,,,,,0.74
-12.225062847399998,-2.4450125693999993,-22.3350474558,45,N,32,internal,,,,,,,0.74
-12.225062847399998,-7.335037708399998,-22.3350474558,46,N,32,internal,,,,,,,0.74
-12.225062847399998,-7.335037708399998,-17.4449428138,47,N,32,internal,,,,,,,0.74
-12.225062847399998,-2.4450125693999993,-17.4449428138,48,N,32,internal,,,,,,,0.74
-7.335037708399998,-2.4450125693999993,-17.4449428138,49,N,32,internal,,,,,,,0.74
-7.335037708399998,-7.335037708399998,-17.4449428138,50,N,32,internal,,,,,,,0.74
-7.335037708399998,-7.335037708399998,-22.3350474558,51,N,32,internal,,,,,,,0.74
-7.335037708399998,-2.4450125693999993,-22.3350474558,52,N,32,internal,,,,,,,0.74
-2.4450125693999993,-2.4450125693999993,-22.3350474558,53,N,32,internal,,,,,,,0.74
-2.4450125693999993,-7.335037708399998,-22.3350474558,54,N,32,internal,,,,,,,0.74
-2.4450125693999993,-7.335037708399998,-17.4449428138,55,N,32,internal,,,,,,,0.74
-2.4450125693999993,-2.4450125693999993,-17.4449428138,56,N,32,internal,,,,,,,0.74
-17.2696127724,-19.5601005554,-24.7800998688,57,Cl,128,internal,,,,,,,0.99
-17.2696127724,-19.5601005554,-15.0001376158,58,Cl,128,internal,,,,,,,0.99
-12.070538060399997,-19.5601005554,-24.7800998688,59,Cl,128,internal,,,,,,,0.99
-12.070538060399997,-19.5601005554,-15.0001376158,60,Cl,128,internal,,,,,,,0.99
-14.6700754164,-12.379587634399998,-24.7800998688,61,Cl,128,internal,,,,,,,0.99
-14.6700754164,-12.379587634399998,-15.0001376158,62,Cl,128,internal,,,,,,,0.99
-14.6700754164,-16.9605631994,-24.7800998688,63,Cl,128,internal,,,,,,,0.99
-14.6700754164,-16.9605631994,-15.0001376158,64,Cl,128,internal,,,,,,,0.99
-14.6700754164,-19.5601005554,-17.599570152800002,65,Cl,128,internal,,,,,,,0.99
-19.5601005554,-19.5601005554,-17.290562135800002,66,Cl,128,internal,,,,,,,0.99
-17.2696127724,-14.6700754164,-19.889995042800003,67,Cl,128,internal,,,,,,,0.99
-12.070538060399997,-14.6700754164,-19.889995042800003,68,Cl,128,internal,,,,,,,0.99
-14.6700754164,-17.2696127724,-19.889995042800003,69,Cl,128,internal,,,,,,,0.99
-14.6700754164,-12.070538060399997,-19.889995042800003,70,Cl,128,internal,,,,,,,0.99
