xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta
-9.843999999990155,-18.48537049000671,-19.44464997594,1,C,162,internal,,,,,,
-11.074499999999999,-17.774940989995237,-19.44485551136,2,C,162,internal,,,,,,
-11.074499999999999,-16.35250383000312,-18.889094423,3,C,162,internal,,,,,,
-12.304999999998769,-15.642074319990632,-18.8892999545,4,C,162,internal,,,,,,
-12.304999999998769,-14.219637159998515,-18.33353886614,5,C,162,internal,,,,,,
-13.535499999986465,-13.509207650005226,-18.33374439764,6,C,162,internal,,,,,,
-7.382999999992614,-18.48537049000671,-18.8890944204,7,C,162,internal,,,,,,
-8.613500000002459,-17.774940989995237,-18.8892999558,8,C,162,internal,,,,,,
-8.613500000002462,-16.35250383000312,-18.33353886744,9,C,162,internal,,,,,,
-9.844000000001229,-15.642074319990632,-18.33374439894,10,C,162,internal,,,,,,
-9.844000000001229,-14.219637159998515,-17.777983310579998,11,C,162,internal,,,,,,
-11.074499999988925,-13.509207650005226,-17.7781888421,12,C,162,internal,,,,,,
-4.921999999995077,-18.48537049000671,-18.33353886484,13,C,162,internal,,,,,,
-6.152500000004921,-17.774940989995237,-18.33374440026,14,C,162,internal,,,,,,
-6.152500000004921,-16.35250383000312,-17.77798331188,15,C,162,internal,,,,,,
-7.383000000003691,-15.642074319990632,-17.7781888434,16,C,162,internal,,,,,,
-7.383000000003691,-14.219637159998515,-17.22242775502,17,C,162,internal,,,,,,
-8.613499999991385,-13.509207650005226,-17.22263328654,18,C,162,internal,,,,,,
-13.535499999997539,-12.086770489993912,-17.77798330928,19,C,162,internal,,,,,,
-14.765999999996309,-11.376340990001635,-17.7781888447,20,C,162,internal,,,,,,
-14.765999999996309,-9.953903830009518,-17.22242775634,21,C,162,internal,,,,,,
-15.996499999995075,-9.243474319997032,-17.22263328784,22,C,162,internal,,,,,,
-15.996499999995075,-7.8210371600049164,-16.66687219948,23,C,162,internal,,,,,,
-17.226999999993843,-7.110607649992431,-16.66707773098,24,C,162,internal,,,,,,
-11.074499999999999,-12.086770489993912,-17.222427753719998,25,C,162,internal,,,,,,
-12.304999999998769,-11.376340990001635,-17.22263328914,26,C,162,internal,,,,,,
-12.304999999998769,-9.953903830009518,-16.66687220078,27,C,162,internal,,,,,,
-13.535499999997539,-9.243474319997032,-16.66707773228,28,C,162,internal,,,,,,
-13.535499999997539,-7.8210371600049164,-16.11131664392,29,C,162,internal,,,,,,
-14.765999999996305,-7.110607649992431,-16.11152217542,30,C,162,internal,,,,,,
-8.613500000002462,-12.086770489993912,-16.666872198180002,31,C,162,internal,,,,,,
-9.844000000001229,-11.376340990001635,-16.66707773358,32,C,162,internal,,,,,,
-9.844000000001229,-9.953903830009518,-16.11131664522,33,C,162,internal,,,,,,
-11.074499999999999,-9.243474319997032,-16.11152217672,34,C,162,internal,,,,,,
-11.074499999999999,-7.8210371600049164,-15.55576108836,35,C,162,internal,,,,,,
-12.304999999998769,-7.110607649992431,-15.55596661986,36,C,162,internal,,,,,,
-17.226999999993843,-5.688170490000312,-16.11131664262,37,C,162,internal,,,,,,
-18.457499999992613,-4.977740990008035,-16.11152217802,38,C,162,internal,,,,,,
-18.45750000000369,-3.555303829996723,-15.555761089659999,39,C,162,internal,,,,,,
-19.687999999991384,-2.844874320003433,-15.555966621180001,40,C,162,internal,,,,,,
-19.68800000000246,-1.42243715999212,-15.000205532799999,41,C,162,internal,,,,,,
-20.918499999990154,-0.71200764999883,-15.00041106432,42,C,162,internal,,,,,,
-14.765999999996309,-5.688170490000312,-15.555761087059999,43,C,162,internal,,,,,,
-15.996499999995075,-4.977740990008035,-15.55596662248,44,C,162,internal,,,,,,
-15.996500000006153,-3.555303829996723,-15.000205534100001,45,C,162,internal,,,,,,
-17.226999999993843,-2.844874320003433,-15.00041106562,46,C,162,internal,,,,,,
-17.22700000000492,-1.42243715999212,-14.44464997726,47,C,162,internal,,,,,,
-18.457499999992613,-0.71200764999883,-14.44485550876,48,C,162,internal,,,,,,
-12.304999999998769,-5.688170490000312,-15.0002055315,49,C,162,internal,,,,,,
-13.535499999997539,-4.977740990008035,-15.00041106692,50,C,162,internal,,,,,,
-13.535500000008613,-3.555303829996723,-14.444649978560001,51,C,162,internal,,,,,,
-14.765999999996305,-2.844874320003433,-14.44485551006,52,C,162,internal,,,,,,
-14.766000000007383,-1.42243715999212,-13.889094421700001,53,C,162,internal,,,,,,
-15.996499999995075,-0.71200764999883,-13.8892999532,54,C,162,internal,,,,,,
-2.4609999999975396,-18.48537049000671,-17.77798330928,55,C,162,internal,,,,,,
-3.6915000000073817,-17.774940989995237,-17.7781888447,56,C,162,internal,,,,,,
-3.6915000000073817,-16.35250383000312,-17.22242775634,57,C,162,internal,,,,,,
-4.922000000006151,-15.642074319990632,-17.22263328784,58,C,162,internal,,,,,,
-4.922000000006151,-14.219637159998515,-16.66687219948,59,C,162,internal,,,,,,
-6.152499999993844,-13.509207650005226,-16.66707773098,60,C,162,internal,,,,,,
-1.2246467991473533e-15,-18.48537049000671,-17.222427753719998,61,C,162,internal,,,,,,
-1.2305000000098452,-17.774940989995237,-17.22263328914,62,C,162,internal,,,,,,
-1.230499999987694,-16.35250383000312,-16.66687220078,63,C,162,internal,,,,,,
-2.4610000000086134,-15.642074319990632,-16.66707773228,64,C,162,internal,,,,,,
-2.4610000000086134,-14.219637159998515,-16.11131664392,65,C,162,internal,,,,,,
-3.691499999996308,-13.509207650005226,-16.11152217542,66,C,162,internal,,,,,,
2.460999999997537,-18.48537049000671,-16.666872198180002,67,C,162,internal,,,,,,
1.2304999999876949,-17.774940989995237,-16.66707773358,68,C,162,internal,,,,,,
1.2305000000098443,-16.35250383000312,-16.11131664522,69,C,162,internal,,,,,,
-1.107503318362031e-11,-15.642074319990632,-16.11152217672,70,C,162,internal,,,,,,
-1.107503318362031e-11,-14.219637159998515,-15.55576108836,71,C,162,internal,,,,,,
-1.2304999999987678,-13.509207650005225,-15.55596661986,72,C,162,internal,,,,,,
-6.152500000004921,-12.086770489993912,-16.11131664262,73,C,162,internal,,,,,,
-7.383000000003691,-11.376340990001635,-16.11152217802,74,C,162,internal,,,,,,
-7.383000000003691,-9.953903830009518,-15.555761089659999,75,C,162,internal,,,,,,
-8.613500000002462,-9.243474319997032,-15.555966621180001,76,C,162,internal,,,,,,
-8.613500000002459,-7.8210371600049164,-15.000205532799999,77,C,162,internal,,,,,,
-9.844000000001229,-7.110607649992431,-15.00041106432,78,C,162,internal,,,,,,
-3.6915000000073834,-12.086770489993912,-15.555761087059999,79,C,162,internal,,,,,,
-4.922000000006153,-11.376340990001635,-15.55596662248,80,C,162,internal,,,,,,
-4.921999999984004,-9.953903830009518,-15.000205534100001,81,C,162,internal,,,,,,
-6.152500000004921,-9.243474319997032,-15.00041106562,82,C,162,internal,,,,,,
-6.152500000004921,-7.8210371600049164,-14.44464997726,83,C,162,internal,,,,,,
-7.383000000003691,-7.110607649992431,-14.44485550876,84,C,162,internal,,,,,,
-1.2305000000098452,-12.086770489993912,-15.0002055315,85,C,162,internal,,,,,,
-2.4610000000086134,-11.376340990001635,-15.00041106692,86,C,162,internal,,,,,,
-2.460999999986464,-9.953903830009518,-14.444649978560001,87,C,162,internal,,,,,,
-3.691500000007385,-9.243474319997032,-14.44485551006,88,C,162,internal,,,,,,
-3.6915000000073817,-7.8210371600049164,-13.889094421700001,89,C,162,internal,,,,,,
-4.922000000006151,-7.110607649992431,-13.8892999532,90,C,162,internal,,,,,,
-9.844000000001232,-5.688170490000312,-14.44464997594,91,C,162,internal,,,,,,
-11.074499999999999,-4.977740990008035,-14.44485551136,92,C,162,internal,,,,,,
-11.074500000011072,-3.555303829996723,-13.889094423,93,C,162,internal,,,,,,
-12.304999999998769,-2.844874320003433,-13.8892999545,94,C,162,internal,,,,,,
-12.305000000009843,-1.42243715999212,-13.33353886614,95,C,162,internal,,,,,,
-13.535499999997539,-0.71200764999883,-13.33374439764,96,C,162,internal,,,,,,
-7.383000000003691,-5.688170490000312,-13.8890944204,97,C,162,internal,,,,,,
-8.613500000002462,-4.977740990008035,-13.889299955799999,98,C,162,internal,,,,,,
-8.613499999991385,-3.555303829996723,-13.33353886744,99,C,162,internal,,,,,,
-9.844000000001229,-2.844874320003433,-13.333744398939999,100,C,162,internal,,,,,,
-9.844000000012306,-1.42243715999212,-12.77798331058,101,C,162,internal,,,,,,
-11.074499999999999,-0.71200764999883,-12.7781888421,102,C,162,internal,,,,,,
-4.922000000006155,-5.688170490000312,-13.33353886484,103,C,162,internal,,,,,,
-6.152500000004921,-4.977740990008035,-13.33374440026,104,C,162,internal,,,,,,
-6.1524999999938474,-3.555303829996723,-12.77798331188,105,C,162,internal,,,,,,
-7.383000000003691,-2.844874320003433,-12.7781888434,106,C,162,internal,,,,,,
-7.383000000014765,-1.42243715999212,-12.22242775502,107,C,162,internal,,,,,,
-8.613500000002459,-0.71200764999883,-12.222633286539999,108,C,162,internal,,,,,,
4.921999999995079,-18.48537049000671,-16.11131664262,109,C,162,internal,,,,,,
3.6915000000073825,-17.774940989995237,-16.11152217802,110,C,162,internal,,,,,,
3.6915000000073825,-16.35250383000312,-15.555761089659999,111,C,162,internal,,,,,,
2.460999999986465,-15.642074319990632,-15.555966621180001,112,C,162,internal,,,,,,
2.4610000000086125,-14.219637159998515,-15.000205532799999,113,C,162,internal,,,,,,
1.2304999999987687,-13.509207650005225,-15.00041106432,114,C,162,internal,,,,,,
7.383000000014767,-18.48537049000671,-15.555761087059999,115,C,162,internal,,,,,,
6.152500000004923,-17.774940989995237,-15.55596662248,116,C,162,internal,,,,,,
6.152500000004923,-16.35250383000312,-15.000205534100001,117,C,162,internal,,,,,,
4.921999999984005,-15.642074319990632,-15.00041106562,118,C,162,internal,,,,,,
4.922000000006153,-14.219637159998515,-14.44464997726,119,C,162,internal,,,,,,
3.691499999996307,-13.509207650005225,-14.44485550876,120,C,162,internal,,,,,,
9.844000000012302,-18.48537049000671,-15.0002055315,121,C,162,internal,,,,,,
8.613500000002459,-17.774940989995237,-15.00041106692,122,C,162,internal,,,,,,
8.613500000002459,-16.35250383000312,-14.444649978560001,123,C,162,internal,,,,,,
7.383000000003693,-15.642074319990632,-14.44485551006,124,C,162,internal,,,,,,
7.3830000000036895,-14.219637159998515,-13.889094421700001,125,C,162,internal,,,,,,
6.152499999993846,-13.509207650005225,-13.8892999532,126,C,162,internal,,,,,,
1.2304999999876967,-12.086770489993912,-14.44464997594,127,C,162,internal,,,,,,
1.1074360246861414e-11,-11.376340990001635,-14.44485551136,128,C,162,internal,,,,,,
1.1072583890022013e-11,-9.953903830009518,-13.889094423,129,C,162,internal,,,,,,
-1.2305000000098452,-9.243474319997032,-13.8892999545,130,C,162,internal,,,,,,
-1.230499999987694,-7.8210371600049164,-13.33353886614,131,C,162,internal,,,,,,
-2.461000000008615,-7.110607649992431,-13.33374439764,132,C,162,internal,,,,,,
3.6915000000073843,-12.086770489993912,-13.8890944204,133,C,162,internal,,,,,,
2.4610000000086125,-11.376340990001635,-13.889299955799999,134,C,162,internal,,,,,,
2.4610000000086125,-9.953903830009518,-13.33353886744,135,C,162,internal,,,,,,
1.2304999999876949,-9.243474319997032,-13.333744398939999,136,C,162,internal,,,,,,
1.230500000009846,-7.8210371600049164,-12.77798331058,137,C,162,internal,,,,,,
-1.107503318362031e-11,-7.110607649992431,-12.7781888421,138,C,162,internal,,,,,,
6.152500000004923,-12.086770489993912,-13.33353886484,139,C,162,internal,,,,,,
4.9220000000061495,-11.376340990001635,-13.33374440026,140,C,162,internal,,,,,,
4.9220000000061495,-9.953903830009518,-12.77798331188,141,C,162,internal,,,,,,
3.6915000000073825,-9.243474319997032,-12.7781888434,142,C,162,internal,,,,,,
3.6915000000073825,-7.8210371600049164,-12.22242775502,143,C,162,internal,,,,,,
2.460999999986465,-7.110607649992431,-12.222633286539999,144,C,162,internal,,,,,,
-2.4610000000086116,-5.688170490000312,-12.77798330928,145,C,162,internal,,,,,,
-3.691499999985234,-4.977740990008035,-12.7781888447,146,C,162,internal,,,,,,
-3.691499999996308,-3.555303829996723,-12.22242775634,147,C,162,internal,,,,,,
-4.922000000006151,-2.844874320003433,-12.22263328784,148,C,162,internal,,,,,,
-4.921999999995077,-1.42243715999212,-11.66687219948,149,C,162,internal,,,,,,
-6.152500000004921,-0.71200764999883,-11.667077730980001,150,C,162,internal,,,,,,
1.1076136603700814e-11,-5.688170490000312,-12.22242775372,151,C,162,internal,,,,,,
-1.2304999999876958,-4.977740990008035,-12.22263328914,152,C,162,internal,,,,,,
-1.2304999999987696,-3.555303829996723,-11.66687220078,153,C,162,internal,,,,,,
-2.4610000000086116,-2.844874320003433,-11.66707773228,154,C,162,internal,,,,,,
-2.4609999999975396,-1.42243715999212,-11.111316643919999,155,C,162,internal,,,,,,
-3.691500000007385,-0.71200764999883,-11.11152217542,156,C,162,internal,,,,,,
2.4610000000086125,-5.688170490000312,-11.66687219818,157,C,162,internal,,,,,,
1.2305000000098407,-4.977740990008035,-11.667077733580001,158,C,162,internal,,,,,,
1.230499999998767,-3.555303829996721,-11.11131664522,159,C,162,internal,,,,,,
1.1076136603700814e-11,-2.844874320003433,-11.11152217672,160,C,162,internal,,,,,,
-3.0010036385476035e-15,-1.42243715999212,-10.555761088359999,161,C,162,internal,,,,,,
-1.2305000000098452,-0.71200764999883,-10.55596661986,162,C,162,internal,,,,,,
-9.843999999990153,-18.485370490006705,0.55535002406,1,C,162,internal,,,,,,
-11.074499999999997,-17.774940989995233,0.55514448864,2,C,162,internal,,,,,,
-11.074499999999997,-16.352503830003116,1.110905577,3,C,162,internal,,,,,,
-12.304999999998767,-15.64207431999063,1.1107000455,4,C,162,internal,,,,,,
