xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta
-9.844,-18.485370489999998,-8.6291464830313,1,C,162,internal,,,,,,
-11.074499999999999,-17.774940989999997,-9.1100768477879,2,C,162,internal,,,,,,
-11.074499999999999,-16.35250383,-9.4165006979391,3,C,162,internal,,,,,,
-12.304999999999987,-15.642074319999997,-10.02207160576207,4,C,162,internal,,,,,,
-12.304999999999987,-14.219637160000007,-10.48657355252652,5,C,162,internal,,,,,,
-13.53549999999999,-13.509207650000006,-11.05043032832051,6,C,162,internal,,,,,,
-7.383000000000007,-18.485370489999998,-8.085252855972,7,C,162,internal,,,,,,
-8.6135,-17.774940989999997,-8.3787036516154,8,C,162,internal,,,,,,
-8.613500000000007,-16.35250383,-8.6851275017665,9,C,162,internal,,,,,,
-9.844,-15.642074319999997,-9.2245472539262,10,C,162,internal,,,,,,
-9.844,-14.219637160000007,-9.6890492006906,11,C,162,internal,,,,,,
-11.074499999999999,-13.509207650000006,-10.31905713214795,12,C,162,internal,,,,,,
-4.921999999999998,-18.485370489999998,-8.1409308256261,13,C,162,internal,,,,,,
-6.152499999999997,-17.774940989999997,-8.1125167871214,14,C,162,internal,,,,,,
-6.152500000000008,-16.35250383,-8.4189406372726,15,C,162,internal,,,,,,
-7.383000000000007,-15.642074319999997,-8.6806536268669,16,C,162,internal,,,,,,
-7.3829999999999965,-14.219637160000007,-9.1451555736314,17,C,162,internal,,,,,,
-8.6135,-13.509207650000006,-9.5876839359754,18,C,162,internal,,,,,,
-13.535499999999997,-12.086770490000006,-11.44794864893233,19,C,162,internal,,,,,,
-14.766,-11.376340990000006,-11.80287022265953,20,C,162,internal,,,,,,
-14.766,-9.953903829999996,-11.94079828113817,21,C,162,internal,,,,,,
-15.996499999999989,-9.243474319999997,-11.98213838494273,22,C,162,internal,,,,,,
-15.996499999999989,-7.821037159999996,-11.79364690950015,23,C,162,internal,,,,,,
-17.226999999999986,-7.110607649999997,-11.5188695451757,24,C,162,internal,,,,,,
-11.074499999999999,-12.086770490000006,-10.71657545275976,25,C,162,internal,,,,,,
