xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
-4.031475544,-4.031475544,-34.1872882843,1,Ba,6,internal,,,,,,,2.24
-4.031475544,-4.031475544,-30.156073570300002,2,Ba,6,internal,,,,,,,2.24
-4.031475544,-4.031475544,-26.1248588563,3,Ba,6,internal,,,,,,,2.24
-4.031475544,-4.031475544,-22.0936441423,4,Ba,6,internal,,,,,,,2.24
-4.031475544,-4.031475544,-18.062429428300003,5,Ba,6,internal,,,,,,,2.24
-4.031475544,-4.031475544,-14.031215667300003,6,Ba,6,internal,,,,,,,2.24
-2.015737772,-2.015737772,-32.1716809273,7,Ti,5,internal,,,,,,,1.47
-2.015737772,-2.015737772,-28.1404662133,8,Ti,5,internal,,,,,,,1.47
-2.015737772,-2.015737772,-24.1092510223,9,Ti,5,internal,,,,,,,1.47
-2.015737772,-2.015737772,-20.0780372623,10,Ti,5,internal,,,,,,,1.47
-2.015737772,-2.015737772,-16.046821594300003,11,Ti,5,internal,,,,,,,1.47
-4.031475544,-2.015737772,-32.1716809273,12,O,16,internal,,,,,,,0.74
-4.031475544,-2.015737772,-28.1404662133,13,O,16,internal,,,,,,,0.74
-4.031475544,-2.015737772,-24.1092510223,14,O,16,internal,,,,,,,0.74
-4.031475544,-2.015737772,-20.0780372623,15,O,16,internal,,,,,,,0.74
-4.031475544,-2.015737772,-16.046821594300003,16,O,16,internal,,,,,,,0.74
-2.015737772,-2.015737772,-34.1872882843,17,O,16,internal,,,,,,,0.74
-2.015737772,-2.015737772,-30.156073570300002,18,O,16,internal,,,,,,,0.74
-2.015737772,-2.015737772,-26.1248588563,19,O,16,internal,,,,,,,0.74
-2.015737772,-2.015737772,-22.0936441423,20,O,16,internal,,,,,,,0.74
-2.015737772,-2.015737772,-18.062429428300003,21,O,16,internal,,,,,,,0.74
-2.015737772,-2.015737772,-14.031215667300003,22,O,16,internal,,,,,,,0.74
-2.015737772,-4.031475544,-32.1716809273,23,O,16,internal,,,,,,,0.74
-2.015737772,-4.031475544,-28.1404662133,24,O,16,internal,,,,,,,0.74
-2.015737772,-4.031475544,-24.1092510223,25,O,16,internal,,,,,,,0.74
-2.015737772,-4.031475544,-20.0780372623,26,O,16,internal,,,,,,,0.74
-2.015737772,-4.031475544,-16.046821594300003,27,O,16,internal,,,,,,,0.74
-4.031475544,-4.031475544,0.0,1,Ba,6,internal,,,,,,,2.24
-4.031475544,-4.031475544,4.031214714,2,Ba,6,internal,,,,,,,2.24
-4.031475544,-4.031475544,8.062429428,3,Ba,6,internal,,,,,,,2.24
-4.031475544,-4.031475544,12.093644142,4,Ba,6,internal,,,,,,,2.24
-4.031475544,-4.031475544,16.124858856,5,Ba,6,internal,,,,,,,2.24
-4.031475544,-4.031475544,20.156072617,6,Ba,6,internal,,,,,,,2.24
-2.015737772,-2.015737772,2.015607357,7,Ti,5,internal,,,,,,,1.47
-2.015737772,-2.015737772,6.046822071,8,Ti,5,internal,,,,,,,1.47
-2.015737772,-2.015737772,10.078037262,9,Ti,5,internal,,,,,,,1.47
-2.015737772,-2.015737772,14.109251022,10,Ti,5,internal,,,,,,,1.47
-2.015737772,-2.015737772,18.14046669,11,Ti,5,internal,,,,,,,1.47
-4.031475544,-2.015737772,2.015607357,12,O,16,internal,,,,,,,0.74
-4.031475544,-2.015737772,6.046822071,13,O,16,internal,,,,,,,0.74
