xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
-15.000100849569122,-15.00640497025806,-22.597630156828714,1,Ce,40,internal,,,,,,,1.82
-12.222119269293188,-17.779761435318164,-17.67868409610287,2,Ce,40,internal,,,,,,,1.82
-17.659523598118483,-15.000126557455715,-14.999825769715187,3,Ce,40,internal,,,,,,,1.82
-17.77771832348229,-17.78002893530278,-17.678596215063678,4,Ce,40,internal,,,,,,,1.82
-14.999759728006126,-20.46128127596326,-17.534385558188177,5,Ce,40,internal,,,,,,,1.82
-14.999948832549137,-17.755801348391174,-20.18874977025824,6,Ce,40,internal,,,,,,,1.82
-9.600720187718963,-17.621368057349116,-14.998628938862097,7,Ce,40,internal,,,,,,,1.82
-17.75085001263335,-15.00443306344529,-20.191069306500893,8,Ce,40,internal,,,,,,,1.82
-20.459683167967455,-15.00202223485104,-17.538661054648088,9,Ce,40,internal,,,,,,,1.82
-14.999864672058294,-17.659255239536193,-14.997477717175798,10,Ce,40,internal,,,,,,,1.82
-17.777640582554994,-17.7757011165545,-12.316955936575127,11,Ce,40,internal,,,,,,,1.82
-14.999521511650897,-20.457661891760566,-12.456857249659166,12,Ce,40,internal,,,,,,,1.82
-14.99949044761209,-17.746635707262755,-9.806895682765742,13,Ce,40,internal,,,,,,,1.82
-12.37838912023335,-20.398982968922397,-14.996033811644764,14,Ce,40,internal,,,,,,,1.82
-9.540146636638127,-14.997712719920955,-12.461610281232609,15,Ce,40,internal,,,,,,,1.82
-14.999786452018142,-14.993754721144654,-7.402690626310857,16,Ce,40,internal,,,,,,,1.82
-12.22180789681552,-17.77534308729365,-12.317174566454128,17,Ce,40,internal,,,,,,,1.82
-20.39916249716427,-17.621739629829847,-14.998572293337773,18,Ce,40,internal,,,,,,,1.82
-17.750749172409073,-14.996121790254335,-9.808939777346808,19,Ce,40,internal,,,,,,,1.82
-17.620995999905915,-20.39914322212212,-14.995722861627243,20,Ce,40,internal,,,,,,,1.82
-12.249258285408544,-15.004179876326019,-20.191132943853773,21,Ce,40,internal,,,,,,,1.82
-15.000006763331015,-15.002655928042614,-17.63367584520381,22,Ce,40,internal,,,,,,,1.82
-12.379170709913794,-9.60067101684615,-15.004184433025785,23,Ce,40,internal,,,,,,,1.82
-17.77806409461263,-12.224572234539153,-17.682914379567833,24,Ce,40,internal,,,,,,,1.82
-15.000231217834212,-12.253622876851367,-20.193191705999283,25,Ce,40,internal,,,,,,,1.82
-15.00038701125888,-9.542401320973681,-17.54315163059502,26,Ce,40,internal,,,,,,,1.82
-12.340401881586303,-14.999904963589046,-15.000089874109435,27,Ce,40,internal,,,,,,,1.82
-12.222330138651003,-12.224360603414581,-17.683080993139626,28,Ce,40,internal,,,,,,,1.82
-15.000105312885665,-12.340688724601563,-15.002412490359587,29,Ce,40,internal,,,,,,,1.82
-9.6010151240435,-12.378110175167905,-15.001712681679678,30,Ce,40,internal,,,,,,,1.82
-9.540291183271776,-15.001640948161779,-17.538828039674,31,Ce,40,internal,,,,,,,1.82
-12.222382765665856,-12.219895476626803,-12.321570041707233,32,Ce,40,internal,,,,,,,1.82
-17.777991922859684,-12.220292740786718,-12.321227595993207,33,Ce,40,internal,,,,,,,1.82
-15.000460174570236,-9.538475027769096,-12.465508671469152,34,Ce,40,internal,,,,,,,1.82
-15.000023198728911,-12.24413781839516,-9.811340066794756,35,Ce,40,internal,,,,,,,1.82
-20.399378516789497,-12.378627517143244,-15.00146772512565,36,Ce,40,internal,,,,,,,1.82
-17.621670384994914,-9.600997847531119,-15.00381920185461,37,Ce,40,internal,,,,,,,1.82
-12.248817469235647,-14.995615768697093,-9.809107031783881,38,Ce,40,internal,,,,,,,1.82
-20.45984842751878,-14.99841563504802,-12.461354228200818,39,Ce,40,internal,,,,,,,1.82
-14.99981152126658,-14.997369623200854,-12.366263764494576,40,Ce,40,internal,,,,,,,1.82
-21.52144499724045,-16.60497473166366,-16.584286770524912,41,O,80,internal,,,,,,,0.74
-19.07087066092849,-19.07207403657253,-16.40037009749058,42,O,80,internal,,,,,,,0.74
-19.061793535158742,-16.39292830443381,-19.109670175768088,43,O,80,internal,,,,,,,0.74
-18.992545327822086,-16.33302044983374,-16.328698374567523,44,O,80,internal,,,,,,,0.74
-13.641297379970752,-16.359509164640826,-16.376830543085035,45,O,80,internal,,,,,,,0.74
-16.602656418950446,-21.52249621430137,-16.580071136720633,46,O,80,internal,,,,,,,0.74
-16.38907603442661,-19.065997265184578,-19.107445447424567,47,O,80,internal,,,,,,,0.74
-16.331748183420345,-18.99321554421924,-16.326402082425275,48,O,80,internal,,,,,,,0.74
-16.378098559630345,-16.38324289217408,-21.709760365064312,49,O,80,internal,,,,,,,0.74
-16.358611410506114,-16.359664672005465,-16.37671283999552,50,O,80,internal,,,,,,,0.74
-16.34991353242306,-16.354166081444035,-19.02563409186058,51,O,80,internal,,,,,,,0.74
-13.650080368254933,-16.35405337653431,-19.02575419795525,52,O,80,internal,,,,,,,0.74
-13.396759398495064,-21.52251467703394,-16.58018507953635,53,O,80,internal,,,,,,,0.74
-13.621932358274478,-16.383139865965717,-21.70989268077129,54,O,80,internal,,,,,,,0.74
-13.667828862134854,-18.99309516635178,-16.326548390379187,55,O,80,internal,,,,,,,0.74
-13.610789196852195,-19.06592593574068,-19.10750804681861,56,O,80,internal,,,,,,,0.74
-11.007406353346099,-16.332851156011685,-16.328918688641068,57,O,80,internal,,,,,,,0.74
-8.478475317753862,-16.604517549831854,-16.584623400754523,58,O,80,internal,,,,,,,0.74
-10.928788180563132,-19.071801056987994,-16.400567825503742,59,O,80,internal,,,,,,,0.74
-10.938202225290894,-16.392643923043906,-19.10986815249025,60,O,80,internal,,,,,,,0.74
-21.52122134395171,-16.602037713422888,-13.413190243625621,61,O,80,internal,,,,,,,0.74
-19.070452130810196,-19.06971021896645,-13.59411926362256,62,O,80,internal,,,,,,,0.74
-19.061818101676735,-16.386702645748485,-10.887288721587964,63,O,80,internal,,,,,,,0.74
-18.992388741212594,-16.33068103040607,-13.668930708755411,64,O,80,internal,,,,,,,0.74
-13.621691652529435,-16.37273991550991,-8.288097946306578,65,O,80,internal,,,,,,,0.74
-16.331223855471393,-18.99137586936199,-13.66665902382266,66,O,80,internal,,,,,,,0.74
-16.38915240699781,-19.058603941312313,-10.885389005516899,67,O,80,internal,,,,,,,0.74
-16.60281387089526,-21.51975782729835,-13.40886831239267,68,O,80,internal,,,,,,,0.74
-16.349631815522372,-16.3463735199867,-10.971999396749368,69,O,80,internal,,,,,,,0.74
-16.358608185784078,-16.35740712961926,-13.620481014988286,70,O,80,internal,,,,,,,0.74
-16.377663027980134,-16.37300336804458,-8.287943205221566,71,O,80,internal,,,,,,,0.74
