xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
-3.9767999649,-3.9767999649,-30.9071006775,1,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,-26.930283784500002,2,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,-22.9534668925,3,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,-18.9766511915,4,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,-15.0001430515,5,Pt,18,internal,,,,,,,1.39
-3.9767999649,-1.9883999829,-28.918846964500002,6,Pt,18,internal,,,,,,,1.39
-3.9767999649,-1.9883999829,-24.9420299535,7,Pt,18,internal,,,,,,,1.39
-3.9767999649,-1.9883999829,-20.9652137755,8,Pt,18,internal,,,,,,,1.39
-3.9767999649,-1.9883999829,-16.9883966445,9,Pt,18,internal,,,,,,,1.39
-1.9883999829,-3.9767999649,-28.918846964500002,10,Pt,18,internal,,,,,,,1.39
-1.9883999829,-3.9767999649,-24.9420299535,11,Pt,18,internal,,,,,,,1.39
-1.9883999829,-3.9767999649,-20.9652137755,12,Pt,18,internal,,,,,,,1.39
-1.9883999829,-3.9767999649,-16.9883966445,13,Pt,18,internal,,,,,,,1.39
-1.9883999829,-1.9883999829,-30.9071006775,14,Pt,18,internal,,,,,,,1.39
-1.9883999829,-1.9883999829,-26.930283784500002,15,Pt,18,internal,,,,,,,1.39
-1.9883999829,-1.9883999829,-22.9534668925,16,Pt,18,internal,,,,,,,1.39
-1.9883999829,-1.9883999829,-18.9766511915,17,Pt,18,internal,,,,,,,1.39
-1.9883999829,-1.9883999829,-15.0001430515,18,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,0.0,1,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,3.976816893,2,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,7.953633785,3,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,11.930449486,4,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,15.906957626,5,Pt,18,internal,,,,,,,1.39
-3.9767999649,-1.9883999829,1.988253713,6,Pt,18,internal,,,,,,,1.39
-3.9767999649,-1.9883999829,5.965070724,7,Pt,18,internal,,,,,,,1.39
-3.9767999649,-1.9883999829,9.941886902,8,Pt,18,internal,,,,,,,1.39
-3.9767999649,-1.9883999829,13.918704033,9,Pt,18,internal,,,,,,,1.39
-1.9883999829,-3.9767999649,1.988253713,10,Pt,18,internal,,,,,,,1.39
-1.9883999829,-3.9767999649,5.965070724,11,Pt,18,internal,,,,,,,1.39
-1.9883999829,-3.9767999649,9.941886902,12,Pt,18,internal,,,,,,,1.39
-1.9883999829,-3.9767999649,13.918704033,13,Pt,18,internal,,,,,,,1.39
-1.9883999829,-1.9883999829,0.0,14,Pt,18,internal,,,,,,,1.39
-1.9883999829,-1.9883999829,3.976816893,15,Pt,18,internal,,,,,,,1.39
-1.9883999829,-1.9883999829,7.953633785,16,Pt,18,internal,,,,,,,1.39
-1.9883999829,-1.9883999829,11.930449486,17,Pt,18,internal,,,,,,,1.39
-1.9883999829,-1.9883999829,15.906957626,18,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,30.9071006775,1,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,34.8839175705,2,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,38.8607344625,3,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,42.8375501635,4,Pt,18,internal,,,,,,,1.39
-3.9767999649,-3.9767999649,46.814058303500005,5,Pt,18,internal,,,,,,,1.39
-3.9767999649,-1.9883999829,32.8953543905,6,Pt,18,internal,,,,,,,1.39
-3.9767999649,-1.9883999829,36.8721714015,7,Pt,18,internal,,,,,,,1.39
-3.9767999649,-1.9883999829,40.848987579500005,8,Pt,18,internal,,,,,,,1.39
-3.9767999649,-1.9883999829,44.8258047105,9,Pt,18,internal,,,,,,,1.39
-1.9883999829,-3.9767999649,32.8953543905,10,Pt,18,internal,,,,,,,1.39
-1.9883999829,-3.9767999649,36.8721714015,11,Pt,18,internal,,,,,,,1.39
