xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
-10.378625271599999,-12.4544000626,-33.4870546037,1,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-12.4544000626,-24.6065643557,2,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-10.378625271599999,-35.7069883877,3,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-10.378625271599999,-26.8268751317,4,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-12.4544000626,-37.5938755037,5,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-12.4544000626,-28.7133847467,6,Ti,144,internal,,,,,,,1.47
-12.4544000626,-12.4544000626,-35.3735639367,7,Ti,144,internal,,,,,,,1.47
-12.4544000626,-12.4544000626,-26.4934515247,8,Ti,144,internal,,,,,,,1.47
-12.4544000626,-10.378625271599999,-29.046809479700002,9,Ti,144,internal,,,,,,,1.47
-12.4544000626,-10.378625271599999,-20.1666956607,10,Ti,144,internal,,,,,,,1.47
-12.4544000626,-12.4544000626,-31.2667432647,11,Ti,144,internal,,,,,,,1.47
-12.4544000626,-12.4544000626,-22.3866305707,12,Ti,144,internal,,,,,,,1.47
-12.4544000626,-10.378625271599999,-33.1536301517,13,Ti,144,internal,,,,,,,1.47
-12.4544000626,-10.378625271599999,-24.2735177397,14,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-10.378625271599999,-30.9336960857,15,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-10.378625271599999,-22.0535828297,16,Ti,144,internal,,,,,,,1.47
-6.2272000316,-12.4544000626,-33.4870546037,17,Ti,144,internal,,,,,,,1.47
-6.2272000316,-12.4544000626,-24.6065643557,18,Ti,144,internal,,,,,,,1.47
-6.2272000316,-10.378625271599999,-35.7069883877,19,Ti,144,internal,,,,,,,1.47
-6.2272000316,-10.378625271599999,-26.8268751317,20,Ti,144,internal,,,,,,,1.47
-6.2272000316,-12.4544000626,-37.5938755037,21,Ti,144,internal,,,,,,,1.47
-6.2272000316,-12.4544000626,-28.7133847467,22,Ti,144,internal,,,,,,,1.47
-8.3029748226,-12.4544000626,-35.3735639367,23,Ti,144,internal,,,,,,,1.47
-8.3029748226,-12.4544000626,-26.4934515247,24,Ti,144,internal,,,,,,,1.47
-8.3029748226,-10.378625271599999,-29.046809479700002,25,Ti,144,internal,,,,,,,1.47
-8.3029748226,-10.378625271599999,-20.1666956607,26,Ti,144,internal,,,,,,,1.47
-8.3029748226,-12.4544000626,-31.2667432647,27,Ti,144,internal,,,,,,,1.47
-8.3029748226,-12.4544000626,-22.3866305707,28,Ti,144,internal,,,,,,,1.47
-8.3029748226,-10.378625271599999,-33.1536301517,29,Ti,144,internal,,,,,,,1.47
-8.3029748226,-10.378625271599999,-24.2735177397,30,Ti,144,internal,,,,,,,1.47
-6.2272000316,-10.378625271599999,-30.9336960857,31,Ti,144,internal,,,,,,,1.47
-6.2272000316,-10.378625271599999,-22.0535828297,32,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-12.4544000626,-33.4870546037,33,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-12.4544000626,-24.6065643557,34,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-10.378625271599999,-35.7069883877,35,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-10.378625271599999,-26.8268751317,36,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-12.4544000626,-37.5938755037,37,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-12.4544000626,-28.7133847467,38,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-12.4544000626,-35.3735639367,39,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-12.4544000626,-26.4934515247,40,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-10.378625271599999,-29.046809479700002,41,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-10.378625271599999,-20.1666956607,42,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-12.4544000626,-31.2667432647,43,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-12.4544000626,-22.3866305707,44,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-10.378625271599999,-33.1536301517,45,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-10.378625271599999,-24.2735177397,46,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-10.378625271599999,-30.9336960857,47,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-10.378625271599999,-22.0535828297,48,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-8.3029748226,-33.4870546037,49,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-8.3029748226,-24.6065643557,50,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-6.2272000316,-35.7069883877,51,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-6.2272000316,-26.8268751317,52,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-8.3029748226,-37.5938755037,53,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-8.3029748226,-28.7133847467,54,Ti,144,internal,,,,,,,1.47
-12.4544000626,-8.3029748226,-35.3735639367,55,Ti,144,internal,,,,,,,1.47
-12.4544000626,-8.3029748226,-26.4934515247,56,Ti,144,internal,,,,,,,1.47
-12.4544000626,-6.2272000316,-29.046809479700002,57,Ti,144,internal,,,,,,,1.47
-12.4544000626,-6.2272000316,-20.1666956607,58,Ti,144,internal,,,,,,,1.47
-12.4544000626,-8.3029748226,-31.2667432647,59,Ti,144,internal,,,,,,,1.47
-12.4544000626,-8.3029748226,-22.3866305707,60,Ti,144,internal,,,,,,,1.47
-12.4544000626,-6.2272000316,-33.1536301517,61,Ti,144,internal,,,,,,,1.47
-12.4544000626,-6.2272000316,-24.2735177397,62,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-6.2272000316,-30.9336960857,63,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-6.2272000316,-22.0535828297,64,Ti,144,internal,,,,,,,1.47
-6.2272000316,-8.3029748226,-33.4870546037,65,Ti,144,internal,,,,,,,1.47
-6.2272000316,-8.3029748226,-24.6065643557,66,Ti,144,internal,,,,,,,1.47
-6.2272000316,-6.2272000316,-35.7069883877,67,Ti,144,internal,,,,,,,1.47
-6.2272000316,-6.2272000316,-26.8268751317,68,Ti,144,internal,,,,,,,1.47
-6.2272000316,-8.3029748226,-37.5938755037,69,Ti,144,internal,,,,,,,1.47
-6.2272000316,-8.3029748226,-28.7133847467,70,Ti,144,internal,,,,,,,1.47
-8.3029748226,-8.3029748226,-35.3735639367,71,Ti,144,internal,,,,,,,1.47
-8.3029748226,-8.3029748226,-26.4934515247,72,Ti,144,internal,,,,,,,1.47
-8.3029748226,-6.2272000316,-29.046809479700002,73,Ti,144,internal,,,,,,,1.47
-8.3029748226,-6.2272000316,-20.1666956607,74,Ti,144,internal,,,,,,,1.47
-8.3029748226,-8.3029748226,-31.2667432647,75,Ti,144,internal,,,,,,,1.47
-8.3029748226,-8.3029748226,-22.3866305707,76,Ti,144,internal,,,,,,,1.47
-8.3029748226,-6.2272000316,-33.1536301517,77,Ti,144,internal,,,,,,,1.47
-8.3029748226,-6.2272000316,-24.2735177397,78,Ti,144,internal,,,,,,,1.47
-6.2272000316,-6.2272000316,-30.9336960857,79,Ti,144,internal,,,,,,,1.47
-6.2272000316,-6.2272000316,-22.0535828297,80,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-8.3029748226,-33.4870546037,81,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-8.3029748226,-24.6065643557,82,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-6.2272000316,-35.7069883877,83,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-6.2272000316,-26.8268751317,84,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-8.3029748226,-37.5938755037,85,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-8.3029748226,-28.7133847467,86,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-8.3029748226,-35.3735639367,87,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-8.3029748226,-26.4934515247,88,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-6.2272000316,-29.046809479700002,89,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-6.2272000316,-20.1666956607,90,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-8.3029748226,-31.2667432647,91,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-8.3029748226,-22.3866305707,92,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-6.2272000316,-33.1536301517,93,Ti,144,internal,,,,,,,1.47
-4.1514248685999995,-6.2272000316,-24.2735177397,94,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-6.2272000316,-30.9336960857,95,Ti,144,internal,,,,,,,1.47
-2.0757751625999994,-6.2272000316,-22.0535828297,96,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-4.1514248685999995,-33.4870546037,97,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-4.1514248685999995,-24.6065643557,98,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-2.0757751625999994,-35.7069883877,99,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-2.0757751625999994,-26.8268751317,100,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-4.1514248685999995,-37.5938755037,101,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-4.1514248685999995,-28.7133847467,102,Ti,144,internal,,,,,,,1.47
-12.4544000626,-4.1514248685999995,-35.3735639367,103,Ti,144,internal,,,,,,,1.47
-12.4544000626,-4.1514248685999995,-26.4934515247,104,Ti,144,internal,,,,,,,1.47
-12.4544000626,-2.0757751625999994,-29.046809479700002,105,Ti,144,internal,,,,,,,1.47
-12.4544000626,-2.0757751625999994,-20.1666956607,106,Ti,144,internal,,,,,,,1.47
-12.4544000626,-4.1514248685999995,-31.2667432647,107,Ti,144,internal,,,,,,,1.47
-12.4544000626,-4.1514248685999995,-22.3866305707,108,Ti,144,internal,,,,,,,1.47
-12.4544000626,-2.0757751625999994,-33.1536301517,109,Ti,144,internal,,,,,,,1.47
-12.4544000626,-2.0757751625999994,-24.2735177397,110,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-2.0757751625999994,-30.9336960857,111,Ti,144,internal,,,,,,,1.47
-10.378625271599999,-2.0757751625999994,-22.0535828297,112,Ti,144,internal,,,,,,,1.47
-6.2272000316,-4.1514248685999995,-33.4870546037,113,Ti,144,internal,,,,,,,1.47
-6.2272000316,-4.1514248685999995,-24.6065643557,114,Ti,144,internal,,,,,,,1.47
-6.2272000316,-2.0757751625999994,-35.7069883877,115,Ti,144,internal,,,,,,,1.47
-6.2272000316,-2.0757751625999994,-26.8268751317,116,Ti,144,internal,,,,,,,1.47
-6.2272000316,-4.1514248685999995,-37.5938755037,117,Ti,144,internal,,,,,,,1.47
-6.2272000316,-4.1514248685999995,-28.7133847467,118,Ti,144,internal,,,,,,,1.47
-8.3029748226,-4.1514248685999995,-35.3735639367,119,Ti,144,internal,,,,,,,1.47
-8.3029748226,-4.1514248685999995,-26.4934515247,120,Ti,144,internal,,,,,,,1.47
