xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
-29.757425877199978,-30.560396227899997,-27.431590579799945,1,Ti,82,internal,,,,,,,1.47
-29.757425877199978,-28.657425877199962,-29.863181162599982,2,Ti,82,internal,,,,,,,1.47
-31.660396227900012,-30.560396227899997,-24.999999999999915,3,Ti,82,internal,,,,,,,1.47
-31.660396227900012,-28.657425877199962,-22.568409417199877,4,Ti,82,internal,,,,,,,1.47
-29.757425877199978,-28.657425877199962,-20.136818834399847,5,Ti,82,internal,,,,,,,1.47
-29.757425877199978,-26.754455526299935,-27.431590579799945,6,Ti,82,internal,,,,,,,1.47
-29.757425877199978,-24.851485175559908,-29.863181162599982,7,Ti,82,internal,,,,,,,1.47
-31.660396227900012,-26.754455526299935,-24.999999999999915,8,Ti,82,internal,,,,,,,1.47
-31.660396227900012,-24.851485175559908,-22.568409417199877,9,Ti,82,internal,,,,,,,1.47
-29.757425877199978,-26.754455526299935,-17.7052282515998,10,Ti,82,internal,,,,,,,1.47
-29.757425877199978,-24.851485175559908,-20.136818834399847,11,Ti,82,internal,,,,,,,1.47
-29.757425877199978,-22.94851482457988,-27.431590579799945,12,Ti,82,internal,,,,,,,1.47
-29.757425877199978,-21.04554447389986,-29.863181162599982,13,Ti,82,internal,,,,,,,1.47
-31.660396227900012,-22.94851482457988,-24.999999999999915,14,Ti,82,internal,,,,,,,1.47
-31.660396227900012,-21.04554447389986,-22.568409417199877,15,Ti,82,internal,,,,,,,1.47
-29.757425877199978,-22.94851482457988,-17.7052282515998,16,Ti,82,internal,,,,,,,1.47
-29.757425877199978,-21.04554447389986,-20.136818834399847,17,Ti,82,internal,,,,,,,1.47
-29.757425877199978,-19.14257412289983,-27.431590579799945,18,Ti,82,internal,,,,,,,1.47
-31.660396227900012,-19.14257412289983,-24.999999999999915,19,Ti,82,internal,,,,,,,1.47
-27.85445552629995,-28.657425877199962,-32.29477174540003,20,Ti,82,internal,,,,,,,1.47
-25.951485175559924,-30.560396227899997,-27.431590579799945,21,Ti,82,internal,,,,,,,1.47
-25.951485175559924,-28.657425877199962,-29.863181162599982,22,Ti,82,internal,,,,,,,1.47
-27.85445552629995,-30.560396227899997,-24.999999999999915,23,Ti,82,internal,,,,,,,1.47
-27.85445552629995,-28.657425877199962,-22.568409417199877,24,Ti,82,internal,,,,,,,1.47
-25.951485175559924,-28.657425877199962,-20.136818834399847,25,Ti,82,internal,,,,,,,1.47
-25.951485175559924,-26.754455526299935,-37.157952908000055,26,Ti,82,internal,,,,,,,1.47
-27.85445552629995,-26.754455526299935,-34.726362328300056,27,Ti,82,internal,,,,,,,1.47
-27.85445552629995,-24.851485175559908,-32.29477174540003,28,Ti,82,internal,,,,,,,1.47
-25.951485175559924,-26.754455526299935,-27.431590579799945,29,Ti,82,internal,,,,,,,1.47
-25.951485175559924,-24.851485175559908,-29.863181162599982,30,Ti,82,internal,,,,,,,1.47
-27.85445552629995,-26.754455526299935,-24.999999999999915,31,Ti,82,internal,,,,,,,1.47
-27.85445552629995,-24.851485175559908,-22.568409417199877,32,Ti,82,internal,,,,,,,1.47
-25.951485175559924,-26.754455526299935,-17.7052282515998,33,Ti,82,internal,,,,,,,1.47
-25.951485175559924,-24.851485175559908,-20.136818834399847,34,Ti,82,internal,,,,,,,1.47
