xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta
-14.4745998383,-17.3441578556,-19.0488427564,1,V,64,internal,,,,,,
-12.6652748583,-16.2720572066,-16.7269141154,2,V,64,internal,,,,,,
-12.6652748583,-16.2720572066,-24.8245907454,3,V,64,internal,,,,,,
-14.4745998383,-17.3441578556,-22.5026619064,4,V,64,internal,,,,,,
-10.855949878299999,-17.3441578556,-19.0488427564,5,V,64,internal,,,,,,
-9.0466248993,-16.2720572066,-16.7269141154,6,V,64,internal,,,,,,
-9.0466248993,-16.2720572066,-24.8245907454,7,V,64,internal,,,,,,
-10.855949878299999,-17.3441578556,-22.5026619064,8,V,64,internal,,,,,,
-7.2372999193,-17.3441578556,-19.0488427564,9,V,64,internal,,,,,,
-5.4279749393,-16.2720572066,-16.7269141154,10,V,64,internal,,,,,,
-5.4279749393,-16.2720572066,-24.8245907454,11,V,64,internal,,,,,,
-7.2372999193,-17.3441578556,-22.5026619064,12,V,64,internal,,,,,,
-3.618649959299999,-17.3441578556,-19.0488427564,13,V,64,internal,,,,,,
-1.8093249802999996,-16.2720572066,-16.7269141154,14,V,64,internal,,,,,,
-1.8093249802999996,-16.2720572066,-24.8245907454,15,V,64,internal,,,,,,
-3.618649959299999,-17.3441578556,-22.5026619064,16,V,64,internal,,,,,,
-14.4745998383,-12.5468578506,-19.0488427564,17,V,64,internal,,,,,,
-12.6652748583,-11.4747573446,-16.7269141154,18,V,64,internal,,,,,,
-12.6652748583,-11.4747573446,-24.8245907454,19,V,64,internal,,,,,,
-14.4745998383,-12.5468578506,-22.5026619064,20,V,64,internal,,,,,,
-10.855949878299999,-12.5468578506,-19.0488427564,21,V,64,internal,,,,,,
-9.0466248993,-11.4747573446,-16.7269141154,22,V,64,internal,,,,,,
-9.0466248993,-11.4747573446,-24.8245907454,23,V,64,internal,,,,,,
-10.855949878299999,-12.5468578506,-22.5026619064,24,V,64,internal,,,,,,
-7.2372999193,-12.5468578506,-19.0488427564,25,V,64,internal,,,,,,
-5.4279749393,-11.4747573446,-16.7269141154,26,V,64,internal,,,,,,
-5.4279749393,-11.4747573446,-24.8245907454,27,V,64,internal,,,,,,
-7.2372999193,-12.5468578506,-22.5026619064,28,V,64,internal,,,,,,
-3.618649959299999,-12.5468578506,-19.0488427564,29,V,64,internal,,,,,,
-1.8093249802999996,-11.4747573446,-16.7269141154,30,V,64,internal,,,,,,
-1.8093249802999996,-11.4747573446,-24.8245907454,31,V,64,internal,,,,,,
-3.618649959299999,-12.5468578506,-22.5026619064,32,V,64,internal,,,,,,
-14.4745998383,-7.749558560600001,-19.0488427564,33,V,64,internal,,,,,,
-12.6652748583,-6.677458054600001,-16.7269141154,34,V,64,internal,,,,,,
-12.6652748583,-6.677458054600001,-24.8245907454,35,V,64,internal,,,,,,
-14.4745998383,-7.749558560600001,-22.5026619064,36,V,64,internal,,,,,,
-10.855949878299999,-7.749558560600001,-19.0488427564,37,V,64,internal,,,,,,
-9.0466248993,-6.677458054600001,-16.7269141154,38,V,64,internal,,,,,,
-9.0466248993,-6.677458054600001,-24.8245907454,39,V,64,internal,,,,,,
-10.855949878299999,-7.749558560600001,-22.5026619064,40,V,64,internal,,,,,,
-7.2372999193,-7.749558560600001,-19.0488427564,41,V,64,internal,,,,,,
-5.4279749393,-6.677458054600001,-16.7269141154,42,V,64,internal,,,,,,
-5.4279749393,-6.677458054600001,-24.8245907454,43,V,64,internal,,,,,,
-7.2372999193,-7.749558560600001,-22.5026619064,44,V,64,internal,,,,,,
-3.618649959299999,-7.749558560600001,-19.0488427564,45,V,64,internal,,,,,,
-1.8093249802999996,-6.677458054600001,-16.7269141154,46,V,64,internal,,,,,,
-1.8093249802999996,-6.677458054600001,-24.8245907454,47,V,64,internal,,,,,,
-3.618649959299999,-7.749558560600001,-22.5026619064,48,V,64,internal,,,,,,
-14.4745998383,-2.9522586996000015,-19.0488427564,49,V,64,internal,,,,,,
-12.6652748583,-1.8801581925999997,-16.7269141154,50,V,64,internal,,,,,,
-12.6652748583,-1.8801581925999997,-24.8245907454,51,V,64,internal,,,,,,
-14.4745998383,-2.9522586996000015,-22.5026619064,52,V,64,internal,,,,,,
-10.855949878299999,-2.9522586996000015,-19.0488427564,53,V,64,internal,,,,,,
-9.0466248993,-1.8801581925999997,-16.7269141154,54,V,64,internal,,,,,,
-9.0466248993,-1.8801581925999997,-24.8245907454,55,V,64,internal,,,,,,
-10.855949878299999,-2.9522586996000015,-22.5026619064,56,V,64,internal,,,,,,
-7.2372999193,-2.9522586996000015,-19.0488427564,57,V,64,internal,,,,,,
-5.4279749393,-1.8801581925999997,-16.7269141154,58,V,64,internal,,,,,,
-5.4279749393,-1.8801581925999997,-24.8245907454,59,V,64,internal,,,,,,
-7.2372999193,-2.9522586996000015,-22.5026619064,60,V,64,internal,,,,,,
-3.618649959299999,-2.9522586996000015,-19.0488427564,61,V,64,internal,,,,,,
-1.8093249802999996,-1.8801581925999997,-16.7269141154,62,V,64,internal,,,,,,
-1.8093249802999996,-1.8801581925999997,-24.8245907454,63,V,64,internal,,,,,,
-3.618649959299999,-2.9522586996000015,-22.5026619064,64,V,64,internal,,,,,,
-12.6652748583,-16.8642360316,-18.675263034399997,65,O,176,internal,,,,,,
-14.4745998383,-16.7519791736,-17.1004938374,66,O,176,internal,,,,,,
-14.4745998383,-16.7519791736,-24.451011221399998,67,O,176,internal,,,,,,
-12.6652748583,-16.8642360316,-22.8762416284,68,O,176,internal,,,,,,
-14.4745998383,-18.9531723026,-22.4508865934,69,O,176,internal,,,,,,
-12.6652748583,-14.6630429026,-24.876366256399997,70,O,176,internal,,,,,,
-12.6652748583,-14.6630429026,-16.6751388024,71,O,176,internal,,,,,,
-12.6652748583,-16.8020630886,-26.5515003204,72,O,176,internal,,,,,,
-12.6652748583,-16.8020630886,-15.0000047384,73,O,176,internal,,,,,,
-14.4745998383,-16.8141522596,-20.7757525294,74,O,176,internal,,,,,,
-14.4745998383,-18.9531723026,-19.1006180694,75,O,176,internal,,,,,,
-9.0466248993,-16.8642360316,-18.675263034399997,76,O,176,internal,,,,,,
-10.855949878299999,-16.7519791736,-17.1004938374,77,O,176,internal,,,,,,
-10.855949878299999,-16.7519791736,-24.451011221399998,78,O,176,internal,,,,,,
-9.0466248993,-16.8642360316,-22.8762416284,79,O,176,internal,,,,,,
-10.855949878299999,-18.9531723026,-22.4508865934,80,O,176,internal,,,,,,
-9.0466248993,-14.6630429026,-24.876366256399997,81,O,176,internal,,,,,,
-9.0466248993,-14.6630429026,-16.6751388024,82,O,176,internal,,,,,,
-9.0466248993,-16.8020630886,-26.5515003204,83,O,176,internal,,,,,,
-9.0466248993,-16.8020630886,-15.0000047384,84,O,176,internal,,,,,,
-10.855949878299999,-16.8141522596,-20.7757525294,85,O,176,internal,,,,,,
-10.855949878299999,-18.9531723026,-19.1006180694,86,O,176,internal,,,,,,
-5.4279749393,-16.8642360316,-18.675263034399997,87,O,176,internal,,,,,,
-7.2372999193,-16.7519791736,-17.1004938374,88,O,176,internal,,,,,,
-7.2372999193,-16.7519791736,-24.451011221399998,89,O,176,internal,,,,,,
-5.4279749393,-16.8642360316,-22.8762416284,90,O,176,internal,,,,,,
-7.2372999193,-18.9531723026,-22.4508865934,91,O,176,internal,,,,,,
-5.4279749393,-14.6630429026,-24.876366256399997,92,O,176,internal,,,,,,
-5.4279749393,-14.6630429026,-16.6751388024,93,O,176,internal,,,,,,
-5.4279749393,-16.8020630886,-26.5515003204,94,O,176,internal,,,,,,
-5.4279749393,-16.8020630886,-15.0000047384,95,O,176,internal,,,,,,
-7.2372999193,-16.8141522596,-20.7757525294,96,O,176,internal,,,,,,
-7.2372999193,-18.9531723026,-19.1006180694,97,O,176,internal,,,,,,
-1.8093249802999996,-16.8642360316,-18.675263034399997,98,O,176,internal,,,,,,
-3.618649959299999,-16.7519791736,-17.1004938374,99,O,176,internal,,,,,,
-3.618649959299999,-16.7519791736,-24.451011221399998,100,O,176,internal,,,,,,
-1.8093249802999996,-16.8642360316,-22.8762416284,101,O,176,internal,,,,,,
-3.618649959299999,-18.9531723026,-22.4508865934,102,O,176,internal,,,,,,
-1.8093249802999996,-14.6630429026,-24.876366256399997,103,O,176,internal,,,,,,
-1.8093249802999996,-14.6630429026,-16.6751388024,104,O,176,internal,,,,,,
-1.8093249802999996,-16.8020630886,-26.5515003204,105,O,176,internal,,,,,,
-1.8093249802999996,-16.8020630886,-15.0000047384,106,O,176,internal,,,,,,
-3.618649959299999,-16.8141522596,-20.7757525294,107,O,176,internal,,,,,,
-3.618649959299999,-18.9531723026,-19.1006180694,108,O,176,internal,,,,,,
-12.6652748583,-12.0669361696,-18.675263034399997,109,O,176,internal,,,,,,
-14.4745998383,-11.9546795976,-17.1004938374,110,O,176,internal,,,,,,
-14.4745998383,-11.9546795976,-24.451011221399998,111,O,176,internal,,,,,,
-12.6652748583,-12.0669361696,-22.8762416284,112,O,176,internal,,,,,,
-14.4745998383,-14.1558721546,-22.4508865934,113,O,176,internal,,,,,,
-12.6652748583,-9.8657430406,-24.876366256399997,114,O,176,internal,,,,,,
-12.6652748583,-9.8657430406,-16.6751388024,115,O,176,internal,,,,,,
-12.6652748583,-12.0047633696,-26.5515003204,116,O,176,internal,,,,,,
-12.6652748583,-12.0047633696,-15.0000047384,117,O,176,internal,,,,,,
-14.4745998383,-12.016852397600001,-20.7757525294,118,O,176,internal,,,,,,
-14.4745998383,-14.1558721546,-19.1006180694,119,O,176,internal,,,,,,
-9.0466248993,-12.0669361696,-18.675263034399997,120,O,176,internal,,,,,,
-10.855949878299999,-11.9546795976,-17.1004938374,121,O,176,internal,,,,,,
-10.855949878299999,-11.9546795976,-24.451011221399998,122,O,176,internal,,,,,,
-9.0466248993,-12.0669361696,-22.8762416284,123,O,176,internal,,,,,,
-10.855949878299999,-14.1558721546,-22.4508865934,124,O,176,internal,,,,,,
-9.0466248993,-9.8657430406,-24.876366256399997,125,O,176,internal,,,,,,
-9.0466248993,-9.8657430406,-16.6751388024,126,O,176,internal,,,,,,
-9.0466248993,-12.0047633696,-26.5515003204,127,O,176,internal,,,,,,
-9.0466248993,-12.0047633696,-15.0000047384,128,O,176,internal,,,,,,
-10.855949878299999,-12.016852397600001,-20.7757525294,129,O,176,internal,,,,,,
-10.855949878299999,-14.1558721546,-19.1006180694,130,O,176,internal,,,,,,
-5.4279749393,-12.0669361696,-18.675263034399997,131,O,176,internal,,,,,,
-7.2372999193,-11.9546795976,-17.1004938374,132,O,176,internal,,,,,,
-7.2372999193,-11.9546795976,-24.451011221399998,133,O,176,internal,,,,,,
-5.4279749393,-12.0669361696,-22.8762416284,134,O,176,internal,,,,,,
-7.2372999193,-14.1558721546,-22.4508865934,135,O,176,internal,,,,,,
-5.4279749393,-9.8657430406,-24.876366256399997,136,O,176,internal,,,,,,
-5.4279749393,-9.8657430406,-16.6751388024,137,O,176,internal,,,,,,
-5.4279749393,-12.0047633696,-26.5515003204,138,O,176,internal,,,,,,
-5.4279749393,-12.0047633696,-15.0000047384,139,O,176,internal,,,,,,
-7.2372999193,-12.016852397600001,-20.7757525294,140,O,176,internal,,,,,,
-7.2372999193,-14.1558721546,-19.1006180694,141,O,176,internal,,,,,,
-1.8093249802999996,-12.0669361696,-18.675263034399997,142,O,176,internal,,,,,,
-3.618649959299999,-11.9546795976,-17.1004938374,143,O,176,internal,,,,,,
-3.618649959299999,-11.9546795976,-24.451011221399998,144,O,176,internal,,,,,,
-1.8093249802999996,-12.0669361696,-22.8762416284,145,O,176,internal,,,,,,
-3.618649959299999,-14.1558721546,-22.4508865934,146,O,176,internal,,,,,,
-1.8093249802999996,-9.8657430406,-24.876366256399997,147,O,176,internal,,,,,,
-1.8093249802999996,-9.8657430406,-16.6751388024,148,O,176,internal,,,,,,
-1.8093249802999996,-12.0047633696,-26.5515003204,149,O,176,internal,,,,,,
-1.8093249802999996,-12.0047633696,-15.0000047384,150,O,176,internal,,,,,,
-3.618649959299999,-12.016852397600001,-20.7757525294,151,O,176,internal,,,,,,
-3.618649959299999,-14.1558721546,-19.1006180694,152,O,176,internal,,,,,,
-12.6652748583,-7.2696368796,-18.675263034399997,153,O,176,internal,,,,,,
-14.4745998383,-7.157379735599999,-17.1004938374,154,O,176,internal,,,,,,
-14.4745998383,-7.157379735599999,-24.451011221399998,155,O,176,internal,,,,,,
-12.6652748583,-7.2696368796,-22.8762416284,156,O,176,internal,,,,,,
-14.4745998383,-9.3585722926,-22.4508865934,157,O,176,internal,,,,,,
-12.6652748583,-5.068443178600001,-24.876366256399997,158,O,176,internal,,,,,,
-12.6652748583,-5.068443178600001,-16.6751388024,159,O,176,internal,,,,,,
-12.6652748583,-7.207462935600001,-26.5515003204,160,O,176,internal,,,,,,
-12.6652748583,-7.207462935600001,-15.0000047384,161,O,176,internal,,,,,,
-14.4745998383,-7.2195525356,-20.7757525294,162,O,176,internal,,,,,,
-14.4745998383,-9.3585722926,-19.1006180694,163,O,176,internal,,,,,,
-9.0466248993,-7.2696368796,-18.675263034399997,164,O,176,internal,,,,,,
-10.855949878299999,-7.157379735599999,-17.1004938374,165,O,176,internal,,,,,,
-10.855949878299999,-7.157379735599999,-24.451011221399998,166,O,176,internal,,,,,,
-9.0466248993,-7.2696368796,-22.8762416284,167,O,176,internal,,,,,,
-10.855949878299999,-9.3585722926,-22.4508865934,168,O,176,internal,,,,,,
-9.0466248993,-5.068443178600001,-24.876366256399997,169,O,176,internal,,,,,,
-9.0466248993,-5.068443178600001,-16.6751388024,170,O,176,internal,,,,,,
-9.0466248993,-7.207462935600001,-26.5515003204,171,O,176,internal,,,,,,
-9.0466248993,-7.207462935600001,-15.0000047384,172,O,176,internal,,,,,,
-10.855949878299999,-7.2195525356,-20.7757525294,173,O,176,internal,,,,,,
-10.855949878299999,-9.3585722926,-19.1006180694,174,O,176,internal,,,,,,
-5.4279749393,-7.2696368796,-18.675263034399997,175,O,176,internal,,,,,,
-7.2372999193,-7.157379735599999,-17.1004938374,176,O,176,internal,,,,,,
-7.2372999193,-7.157379735599999,-24.451011221399998,177,O,176,internal,,,,,,
-5.4279749393,-7.2696368796,-22.8762416284,178,O,176,internal,,,,,,
-7.2372999193,-9.3585722926,-22.4508865934,179,O,176,internal,,,,,,
-5.4279749393,-5.068443178600001,-24.876366256399997,180,O,176,internal,,,,,,
-5.4279749393,-5.068443178600001,-16.6751388024,181,O,176,internal,,,,,,
-5.4279749393,-7.207462935600001,-26.5515003204,182,O,176,internal,,,,,,
-5.4279749393,-7.207462935600001,-15.0000047384,183,O,176,internal,,,,,,
-7.2372999193,-7.2195525356,-20.7757525294,184,O,176,internal,,,,,,
-7.2372999193,-9.3585722926,-19.1006180694,185,O,176,internal,,,,,,
-1.8093249802999996,-7.2696368796,-18.675263034399997,186,O,176,internal,,,,,,
-3.618649959299999,-7.157379735599999,-17.1004938374,187,O,176,internal,,,,,,
-3.618649959299999,-7.157379735599999,-24.451011221399998,188,O,176,internal,,,,,,
-1.8093249802999996,-7.2696368796,-22.8762416284,189,O,176,internal,,,,,,
-3.618649959299999,-9.3585722926,-22.4508865934,190,O,176,internal,,,,,,
-1.8093249802999996,-5.068443178600001,-24.876366256399997,191,O,176,internal,,,,,,
-1.8093249802999996,-5.068443178600001,-16.6751388024,192,O,176,internal,,,,,,
-1.8093249802999996,-7.207462935600001,-26.5515003204,193,O,176,internal,,,,,,
-1.8093249802999996,-7.207462935600001,-15.0000047384,194,O,176,internal,,,,,,
-3.618649959299999,-7.2195525356,-20.7757525294,195,O,176,internal,,,,,,
-3.618649959299999,-9.3585722926,-19.1006180694,196,O,176,internal,,,,,,
-12.6652748583,-2.472337017600001,-18.675263034399997,197,O,176,internal,,,,,,
-14.4745998383,-2.3600798736,-17.1004938374,198,O,176,internal,,,,,,
-14.4745998383,-2.3600798736,-24.451011221399998,199,O,176,internal,,,,,,
-12.6652748583,-2.472337017600001,-22.8762416284,200,O,176,internal,,,,,,
-14.4745998383,-4.561272430600001,-22.4508865934,201,O,176,internal,,,,,,
-12.6652748583,-0.2711433176,-24.876366256399997,202,O,176,internal,,,,,,
-12.6652748583,-0.2711433176,-16.6751388024,203,O,176,internal,,,,,,
-12.6652748583,-2.4101630735999997,-26.5515003204,204,O,176,internal,,,,,,
-12.6652748583,-2.4101630735999997,-15.0000047384,205,O,176,internal,,,,,,
-14.4745998383,-2.422252673599999,-20.7757525294,206,O,176,internal,,,,,,
-14.4745998383,-4.561272430600001,-19.1006180694,207,O,176,internal,,,,,,
-9.0466248993,-2.472337017600001,-18.675263034399997,208,O,176,internal,,,,,,
-10.855949878299999,-2.3600798736,-17.1004938374,209,O,176,internal,,,,,,
-10.855949878299999,-2.3600798736,-24.451011221399998,210,O,176,internal,,,,,,
-9.0466248993,-2.472337017600001,-22.8762416284,211,O,176,internal,,,,,,
-10.855949878299999,-4.561272430600001,-22.4508865934,212,O,176,internal,,,,,,
-9.0466248993,-0.2711433176,-24.876366256399997,213,O,176,internal,,,,,,
-9.0466248993,-0.2711433176,-16.6751388024,214,O,176,internal,,,,,,
-9.0466248993,-2.4101630735999997,-26.5515003204,215,O,176,internal,,,,,,
-9.0466248993,-2.4101630735999997,-15.0000047384,216,O,176,internal,,,,,,
-10.855949878299999,-2.422252673599999,-20.7757525294,217,O,176,internal,,,,,,
-10.855949878299999,-4.561272430600001,-19.1006180694,218,O,176,internal,,,,,,
-5.4279749393,-2.472337017600001,-18.675263034399997,219,O,176,internal,,,,,,
-7.2372999193,-2.3600798736,-17.1004938374,220,O,176,internal,,,,,,
-7.2372999193,-2.3600798736,-24.451011221399998,221,O,176,internal,,,,,,
-5.4279749393,-2.472337017600001,-22.8762416284,222,O,176,internal,,,,,,
-7.2372999193,-4.561272430600001,-22.4508865934,223,O,176,internal,,,,,,
-5.4279749393,-0.2711433176,-24.876366256399997,224,O,176,internal,,,,,,
-5.4279749393,-0.2711433176,-16.6751388024,225,O,176,internal,,,,,,
-5.4279749393,-2.4101630735999997,-26.5515003204,226,O,176,internal,,,,,,
-5.4279749393,-2.4101630735999997,-15.0000047384,227,O,176,internal,,,,,,
-7.2372999193,-2.422252673599999,-20.7757525294,228,O,176,internal,,,,,,
-7.2372999193,-4.561272430600001,-19.1006180694,229,O,176,internal,,,,,,
-1.8093249802999996,-2.472337017600001,-18.675263034399997,230,O,176,internal,,,,,,
-3.618649959299999,-2.3600798736,-17.1004938374,231,O,176,internal,,,,,,
-3.618649959299999,-2.3600798736,-24.451011221399998,232,O,176,internal,,,,,,
-1.8093249802999996,-2.472337017600001,-22.8762416284,233,O,176,internal,,,,,,
-3.618649959299999,-4.561272430600001,-22.4508865934,234,O,176,internal,,,,,,
-1.8093249802999996,-0.2711433176,-24.876366256399997,235,O,176,internal,,,,,,
-1.8093249802999996,-0.2711433176,-16.6751388024,236,O,176,internal,,,,,,
-1.8093249802999996,-2.4101630735999997,-26.5515003204,237,O,176,internal,,,,,,
-1.8093249802999996,-2.4101630735999997,-15.0000047384,238,O,176,internal,,,,,,
-3.618649959299999,-2.422252673599999,-20.7757525294,239,O,176,internal,,,,,,
-3.618649959299999,-4.561272430600001,-19.1006180694,240,O,176,internal,,,,,,
-14.4745998383,-17.3441578556,7.502657564,1,V,64,internal,,,,,,
-12.6652748583,-16.2720572066,9.824586205,2,V,64,internal,,,,,,
-12.6652748583,-16.2720572066,1.726909575,3,V,64,internal,,,,,,
-14.4745998383,-17.3441578556,4.048838414,4,V,64,internal,,,,,,
-10.855949878299999,-17.3441578556,7.502657564,5,V,64,internal,,,,,,
-9.0466248993,-16.2720572066,9.824586205,6,V,64,internal,,,,,,
-9.0466248993,-16.2720572066,1.726909575,7,V,64,internal,,,,,,
-10.855949878299999,-17.3441578556,4.048838414,8,V,64,internal,,,,,,
-7.2372999193,-17.3441578556,7.502657564,9,V,64,internal,,,,,,
-5.4279749393,-16.2720572066,9.824586205,10,V,64,internal,,,,,,
-5.4279749393,-16.2720572066,1.726909575,11,V,64,internal,,,,,,
-7.2372999193,-17.3441578556,4.048838414,12,V,64,internal,,,,,,
-3.618649959299999,-17.3441578556,7.502657564,13,V,64,internal,,,,,,
-1.8093249802999996,-16.2720572066,9.824586205,14,V,64,internal,,,,,,
-1.8093249802999996,-16.2720572066,1.726909575,15,V,64,internal,,,,,,
-3.618649959299999,-17.3441578556,4.048838414,16,V,64,internal,,,,,,
-14.4745998383,-12.5468578506,7.502657564,17,V,64,internal,,,,,,
-12.6652748583,-11.4747573446,9.824586205,18,V,64,internal,,,,,,
-12.6652748583,-11.4747573446,1.726909575,19,V,64,internal,,,,,,
-14.4745998383,-12.5468578506,4.048838414,20,V,64,internal,,,,,,
-10.855949878299999,-12.5468578506,7.502657564,21,V,64,internal,,,,,,
-9.0466248993,-11.4747573446,9.824586205,22,V,64,internal,,,,,,
-9.0466248993,-11.4747573446,1.726909575,23,V,64,internal,,,,,,
-10.855949878299999,-12.5468578506,4.048838414,24,V,64,internal,,,,,,
-7.2372999193,-12.5468578506,7.502657564,25,V,64,internal,,,,,,
-5.4279749393,-11.4747573446,9.824586205,26,V,64,internal,,,,,,
